month,channel,region,spend_eur
2024-02-01,Webinar,EMEA - UK&I,101.00
2024-02-01,Webinar,LATAM,194.00
2024-02-01,Webinar,North America,1087.00
2024-02-01,Webinar,Unknown,322.00
2024-03-01,Community sponsorships,APAC,2055.00
2024-03-01,Community sponsorships,EMEA - DACH,5959.00
2024-03-01,Community sponsorships,EMEA - North,2155.00
2024-03-01,Community sponsorships,EMEA - South,2035.00
2024-03-01,Community sponsorships,EMEA - UK&I,2025.00
2024-03-01,Community sponsorships,LATAM,3514.00
2024-03-01,Community sponsorships,North America,4601.00
2024-03-01,Content download,APAC,813.00
2024-03-01,Content download,EMEA - DACH,1334.00
2024-03-01,Content download,EMEA - North,882.00
2024-03-01,Content download,EMEA - South,791.00
2024-03-01,Content download,EMEA - UK&I,325.00
2024-03-01,Content download,LATAM,290.00
2024-03-01,Content download,North America,1846.00
2024-03-01,Content download,Unknown,992.00
2024-03-01,Event / Trade show,APAC,4394.00
2024-03-01,Event / Trade show,EMEA - DACH,11085.00
2024-03-01,Event / Trade show,EMEA - South,3606.00
2024-03-01,Event / Trade show,EMEA - UK&I,3005.00
2024-03-01,Event / Trade show,North America,10116.00
2024-03-01,Event / Trade show,Unknown,1523.00
2024-03-01,Paid search - Enterprise LP,APAC,212.00
2024-03-01,Paid search - Enterprise LP,EMEA - DACH,644.00
2024-03-01,Paid search - Enterprise LP,EMEA - North,641.00
2024-03-01,Paid search - Enterprise LP,EMEA - South,281.00
2024-03-01,Paid search - Enterprise LP,EMEA - UK&I,1568.00
2024-03-01,Paid search - Enterprise LP,LATAM,273.00
2024-03-01,Paid search - Enterprise LP,North America,888.00
2024-03-01,Paid search - Enterprise LP,Unknown,770.00
2024-03-01,Paid search - Self-serve,APAC,13508.00
2024-03-01,Paid search - Self-serve,EMEA - DACH,25578.00
2024-03-01,Paid search - Self-serve,EMEA - North,13282.00
2024-03-01,Paid search - Self-serve,EMEA - South,13719.00
2024-03-01,Paid search - Self-serve,EMEA - UK&I,12083.00
2024-03-01,Paid search - Self-serve,LATAM,11509.00
2024-03-01,Paid search - Self-serve,North America,31229.00
2024-03-01,Paid social,APAC,386.00
2024-03-01,Paid social,EMEA - DACH,1809.00
2024-03-01,Paid social,EMEA - North,1088.00
2024-03-01,Paid social,EMEA - South,844.00
2024-03-01,Paid social,EMEA - UK&I,347.00
2024-03-01,Paid social,North America,3031.00
2024-03-01,Paid social,Unknown,321.00
2024-03-01,Partner MDF,APAC,1412.00
2024-03-01,Partner MDF,EMEA - DACH,4173.00
2024-03-01,Partner MDF,EMEA - North,1353.00
2024-03-01,Partner MDF,EMEA - South,1838.00
2024-03-01,Partner MDF,EMEA - UK&I,2196.00
2024-03-01,Partner MDF,LATAM,1673.00
2024-03-01,Partner MDF,North America,2925.00
2024-03-01,Webinar,APAC,89.00
2024-03-01,Webinar,EMEA - DACH,883.00
2024-03-01,Webinar,EMEA - North,892.00
2024-03-01,Webinar,EMEA - South,732.00
2024-03-01,Webinar,EMEA - UK&I,391.00
2024-03-01,Webinar,LATAM,100.00
2024-03-01,Webinar,North America,2184.00
2024-03-01,Webinar,Unknown,217.00
2024-04-01,Community sponsorships,APAC,2746.00
2024-04-01,Community sponsorships,EMEA - DACH,4222.00
2024-04-01,Community sponsorships,EMEA - North,1852.00
2024-04-01,Community sponsorships,EMEA - South,3413.00
2024-04-01,Community sponsorships,EMEA - UK&I,1723.00
2024-04-01,Community sponsorships,LATAM,2200.00
2024-04-01,Community sponsorships,North America,5665.00
2024-04-01,Content download,APAC,581.00
2024-04-01,Content download,EMEA - DACH,1577.00
2024-04-01,Content download,EMEA - North,687.00
2024-04-01,Content download,EMEA - South,407.00
2024-04-01,Content download,EMEA - UK&I,370.00
2024-04-01,Content download,LATAM,108.00
2024-04-01,Content download,North America,1972.00
2024-04-01,Content download,Unknown,395.00
2024-04-01,Event / Trade show,APAC,6672.00
2024-04-01,Event / Trade show,EMEA - DACH,3439.00
2024-04-01,Event / Trade show,EMEA - North,4864.00
2024-04-01,Event / Trade show,EMEA - South,1564.00
2024-04-01,Event / Trade show,EMEA - UK&I,3352.00
2024-04-01,Event / Trade show,North America,10368.00
2024-04-01,Event / Trade show,Unknown,4491.00
2024-04-01,Paid search - Enterprise LP,APAC,595.00
2024-04-01,Paid search - Enterprise LP,EMEA - DACH,795.00
2024-04-01,Paid search - Enterprise LP,EMEA - North,569.00
2024-04-01,Paid search - Enterprise LP,EMEA - South,1129.00
2024-04-01,Paid search - Enterprise LP,EMEA - UK&I,1476.00
2024-04-01,Paid search - Enterprise LP,LATAM,774.00
2024-04-01,Paid search - Enterprise LP,North America,1742.00
2024-04-01,Paid search - Enterprise LP,Unknown,1247.00
2024-04-01,Paid search - Self-serve,APAC,11738.00
2024-04-01,Paid search - Self-serve,EMEA - DACH,23526.00
2024-04-01,Paid search - Self-serve,EMEA - North,13351.00
2024-04-01,Paid search - Self-serve,EMEA - South,10849.00
2024-04-01,Paid search - Self-serve,EMEA - UK&I,10944.00
2024-04-01,Paid search - Self-serve,LATAM,10294.00
2024-04-01,Paid search - Self-serve,North America,31396.00
2024-04-01,Paid social,APAC,847.00
2024-04-01,Paid social,EMEA - DACH,1509.00
2024-04-01,Paid social,EMEA - North,1402.00
2024-04-01,Paid social,EMEA - South,1674.00
2024-04-01,Paid social,EMEA - UK&I,1078.00
2024-04-01,Paid social,LATAM,420.00
2024-04-01,Paid social,North America,2098.00
2024-04-01,Paid social,Unknown,581.00
2024-04-01,Partner MDF,APAC,1823.00
2024-04-01,Partner MDF,EMEA - DACH,2387.00
2024-04-01,Partner MDF,EMEA - North,1064.00
2024-04-01,Partner MDF,EMEA - South,1257.00
2024-04-01,Partner MDF,EMEA - UK&I,1012.00
2024-04-01,Partner MDF,LATAM,1841.00
2024-04-01,Partner MDF,North America,3910.00
2024-04-01,Webinar,APAC,251.00
2024-04-01,Webinar,EMEA - DACH,1328.00
2024-04-01,Webinar,EMEA - North,418.00
2024-04-01,Webinar,EMEA - South,693.00
2024-04-01,Webinar,EMEA - UK&I,514.00
2024-04-01,Webinar,LATAM,219.00
2024-04-01,Webinar,North America,2149.00
2024-04-01,Webinar,Unknown,517.00
2024-05-01,Community sponsorships,APAC,1919.00
2024-05-01,Community sponsorships,EMEA - DACH,2891.00
2024-05-01,Community sponsorships,EMEA - North,2200.00
2024-05-01,Community sponsorships,EMEA - South,1586.00
2024-05-01,Community sponsorships,EMEA - UK&I,2908.00
2024-05-01,Community sponsorships,LATAM,3445.00
2024-05-01,Community sponsorships,North America,6478.00
2024-05-01,Content download,APAC,825.00
2024-05-01,Content download,EMEA - DACH,1648.00
2024-05-01,Content download,EMEA - North,1120.00
2024-05-01,Content download,EMEA - South,713.00
2024-05-01,Content download,EMEA - UK&I,813.00
2024-05-01,Content download,LATAM,221.00
2024-05-01,Content download,North America,2447.00
2024-05-01,Content download,Unknown,306.00
2024-05-01,Event / Trade show,APAC,2578.00
2024-05-01,Event / Trade show,EMEA - DACH,5336.00
2024-05-01,Event / Trade show,EMEA - North,920.00
2024-05-01,Event / Trade show,EMEA - South,4908.00
2024-05-01,Event / Trade show,EMEA - UK&I,5215.00
2024-05-01,Event / Trade show,LATAM,1968.00
2024-05-01,Event / Trade show,North America,7580.00
2024-05-01,Event / Trade show,Unknown,1777.00
2024-05-01,Paid search - Enterprise LP,EMEA - DACH,2289.00
2024-05-01,Paid search - Enterprise LP,EMEA - North,1673.00
2024-05-01,Paid search - Enterprise LP,EMEA - South,911.00
2024-05-01,Paid search - Enterprise LP,EMEA - UK&I,846.00
2024-05-01,Paid search - Enterprise LP,LATAM,231.00
2024-05-01,Paid search - Enterprise LP,North America,2114.00
2024-05-01,Paid search - Enterprise LP,Unknown,435.00
2024-05-01,Paid search - Self-serve,APAC,13194.00
2024-05-01,Paid search - Self-serve,EMEA - DACH,28451.00
2024-05-01,Paid search - Self-serve,EMEA - North,12927.00
2024-05-01,Paid search - Self-serve,EMEA - South,11879.00
2024-05-01,Paid search - Self-serve,EMEA - UK&I,11665.00
2024-05-01,Paid search - Self-serve,LATAM,10449.00
2024-05-01,Paid search - Self-serve,North America,25560.00
2024-05-01,Paid social,APAC,1195.00
2024-05-01,Paid social,EMEA - DACH,935.00
2024-05-01,Paid social,EMEA - North,1487.00
2024-05-01,Paid social,EMEA - South,745.00
2024-05-01,Paid social,EMEA - UK&I,821.00
2024-05-01,Paid social,LATAM,322.00
2024-05-01,Paid social,North America,2903.00
2024-05-01,Paid social,Unknown,853.00
2024-05-01,Partner MDF,APAC,793.00
2024-05-01,Partner MDF,EMEA - DACH,3615.00
2024-05-01,Partner MDF,EMEA - North,1611.00
2024-05-01,Partner MDF,EMEA - South,1692.00
2024-05-01,Partner MDF,EMEA - UK&I,1770.00
2024-05-01,Partner MDF,LATAM,2201.00
2024-05-01,Partner MDF,North America,5168.00
2024-05-01,Webinar,APAC,535.00
2024-05-01,Webinar,EMEA - DACH,1081.00
2024-05-01,Webinar,EMEA - North,1111.00
2024-05-01,Webinar,EMEA - South,2325.00
2024-05-01,Webinar,EMEA - UK&I,638.00
2024-05-01,Webinar,LATAM,207.00
2024-05-01,Webinar,North America,1586.00
2024-05-01,Webinar,Unknown,1060.00
2024-06-01,Community sponsorships,APAC,3087.00
2024-06-01,Community sponsorships,EMEA - DACH,5131.00
2024-06-01,Community sponsorships,EMEA - North,1555.00
2024-06-01,Community sponsorships,EMEA - South,2320.00
2024-06-01,Community sponsorships,EMEA - UK&I,3384.00
2024-06-01,Community sponsorships,LATAM,2313.00
2024-06-01,Community sponsorships,North America,3893.00
2024-06-01,Content download,APAC,433.00
2024-06-01,Content download,EMEA - DACH,959.00
2024-06-01,Content download,EMEA - North,1140.00
2024-06-01,Content download,EMEA - South,533.00
2024-06-01,Content download,EMEA - UK&I,1061.00
2024-06-01,Content download,LATAM,294.00
2024-06-01,Content download,North America,1876.00
2024-06-01,Content download,Unknown,217.00
2024-06-01,Event / Trade show,APAC,3697.00
2024-06-01,Event / Trade show,EMEA - DACH,5364.00
2024-06-01,Event / Trade show,EMEA - North,3441.00
2024-06-01,Event / Trade show,EMEA - South,1595.00
2024-06-01,Event / Trade show,EMEA - UK&I,967.00
2024-06-01,Event / Trade show,LATAM,2058.00
2024-06-01,Event / Trade show,North America,7924.00
2024-06-01,Event / Trade show,Unknown,1039.00
2024-06-01,Paid search - Enterprise LP,APAC,894.00
2024-06-01,Paid search - Enterprise LP,EMEA - DACH,2318.00
2024-06-01,Paid search - Enterprise LP,EMEA - North,293.00
2024-06-01,Paid search - Enterprise LP,EMEA - South,1290.00
2024-06-01,Paid search - Enterprise LP,EMEA - UK&I,1588.00
2024-06-01,Paid search - Enterprise LP,North America,2190.00
2024-06-01,Paid search - Enterprise LP,Unknown,1531.00
2024-06-01,Paid search - Self-serve,APAC,9843.00
2024-06-01,Paid search - Self-serve,EMEA - DACH,22365.00
2024-06-01,Paid search - Self-serve,EMEA - North,11563.00
2024-06-01,Paid search - Self-serve,EMEA - South,10470.00
2024-06-01,Paid search - Self-serve,EMEA - UK&I,12460.00
2024-06-01,Paid search - Self-serve,LATAM,13802.00
2024-06-01,Paid search - Self-serve,North America,31984.00
2024-06-01,Paid social,APAC,941.00
2024-06-01,Paid social,EMEA - DACH,1044.00
2024-06-01,Paid social,EMEA - North,1929.00
2024-06-01,Paid social,EMEA - South,1467.00
2024-06-01,Paid social,EMEA - UK&I,578.00
2024-06-01,Paid social,LATAM,144.00
2024-06-01,Paid social,North America,3032.00
2024-06-01,Paid social,Unknown,900.00
2024-06-01,Partner MDF,APAC,863.00
2024-06-01,Partner MDF,EMEA - DACH,4113.00
2024-06-01,Partner MDF,EMEA - North,911.00
2024-06-01,Partner MDF,EMEA - South,1225.00
2024-06-01,Partner MDF,EMEA - UK&I,1665.00
2024-06-01,Partner MDF,LATAM,873.00
2024-06-01,Partner MDF,North America,3322.00
2024-06-01,Webinar,APAC,431.00
2024-06-01,Webinar,EMEA - DACH,916.00
2024-06-01,Webinar,EMEA - North,1230.00
2024-06-01,Webinar,EMEA - South,830.00
2024-06-01,Webinar,EMEA - UK&I,381.00
2024-06-01,Webinar,LATAM,223.00
2024-06-01,Webinar,North America,3114.00
2024-06-01,Webinar,Unknown,960.00
2024-07-01,Community sponsorships,APAC,1679.00
2024-07-01,Community sponsorships,EMEA - DACH,5391.00
2024-07-01,Community sponsorships,EMEA - North,1599.00
2024-07-01,Community sponsorships,EMEA - South,1410.00
2024-07-01,Community sponsorships,EMEA - UK&I,1550.00
2024-07-01,Community sponsorships,LATAM,3502.00
2024-07-01,Community sponsorships,North America,4873.00
2024-07-01,Content download,APAC,299.00
2024-07-01,Content download,EMEA - DACH,1009.00
2024-07-01,Content download,EMEA - North,567.00
2024-07-01,Content download,EMEA - South,1018.00
2024-07-01,Content download,EMEA - UK&I,960.00
2024-07-01,Content download,LATAM,113.00
2024-07-01,Content download,North America,2407.00
2024-07-01,Content download,Unknown,1021.00
2024-07-01,Event / Trade show,APAC,6011.00
2024-07-01,Event / Trade show,EMEA - DACH,7973.00
2024-07-01,Event / Trade show,EMEA - North,7802.00
2024-07-01,Event / Trade show,EMEA - South,5229.00
2024-07-01,Event / Trade show,EMEA - UK&I,4914.00
2024-07-01,Event / Trade show,LATAM,930.00
2024-07-01,Event / Trade show,North America,5254.00
2024-07-01,Event / Trade show,Unknown,3101.00
2024-07-01,Paid search - Enterprise LP,APAC,710.00
2024-07-01,Paid search - Enterprise LP,EMEA - DACH,1669.00
2024-07-01,Paid search - Enterprise LP,EMEA - North,1423.00
2024-07-01,Paid search - Enterprise LP,EMEA - South,645.00
2024-07-01,Paid search - Enterprise LP,EMEA - UK&I,1516.00
2024-07-01,Paid search - Enterprise LP,North America,2341.00
2024-07-01,Paid search - Enterprise LP,Unknown,223.00
2024-07-01,Paid search - Self-serve,APAC,13707.00
2024-07-01,Paid search - Self-serve,EMEA - DACH,26059.00
2024-07-01,Paid search - Self-serve,EMEA - North,11939.00
2024-07-01,Paid search - Self-serve,EMEA - South,10186.00
2024-07-01,Paid search - Self-serve,EMEA - UK&I,14476.00
2024-07-01,Paid search - Self-serve,LATAM,14597.00
2024-07-01,Paid search - Self-serve,North America,26304.00
2024-07-01,Paid social,APAC,901.00
2024-07-01,Paid social,EMEA - DACH,2263.00
2024-07-01,Paid social,EMEA - North,1168.00
2024-07-01,Paid social,EMEA - South,871.00
2024-07-01,Paid social,EMEA - UK&I,1513.00
2024-07-01,Paid social,LATAM,224.00
2024-07-01,Paid social,North America,1298.00
2024-07-01,Paid social,Unknown,1012.00
2024-07-01,Partner MDF,APAC,856.00
2024-07-01,Partner MDF,EMEA - DACH,1975.00
2024-07-01,Partner MDF,EMEA - North,1627.00
2024-07-01,Partner MDF,EMEA - South,2133.00
2024-07-01,Partner MDF,EMEA - UK&I,1978.00
2024-07-01,Partner MDF,LATAM,2203.00
2024-07-01,Partner MDF,North America,3152.00
2024-07-01,Webinar,APAC,548.00
2024-07-01,Webinar,EMEA - DACH,816.00
2024-07-01,Webinar,EMEA - North,897.00
2024-07-01,Webinar,EMEA - South,383.00
2024-07-01,Webinar,EMEA - UK&I,1254.00
2024-07-01,Webinar,LATAM,136.00
2024-07-01,Webinar,North America,1507.00
2024-07-01,Webinar,Unknown,400.00
2024-08-01,Community sponsorships,APAC,3071.00
2024-08-01,Community sponsorships,EMEA - DACH,5535.00
2024-08-01,Community sponsorships,EMEA - North,2164.00
2024-08-01,Community sponsorships,EMEA - South,3138.00
2024-08-01,Community sponsorships,EMEA - UK&I,2314.00
2024-08-01,Community sponsorships,LATAM,2349.00
2024-08-01,Community sponsorships,North America,6805.00
2024-08-01,Content download,APAC,558.00
2024-08-01,Content download,EMEA - DACH,1513.00
2024-08-01,Content download,EMEA - North,1143.00
2024-08-01,Content download,EMEA - South,1097.00
2024-08-01,Content download,EMEA - UK&I,560.00
2024-08-01,Content download,LATAM,187.00
2024-08-01,Content download,North America,2175.00
2024-08-01,Content download,Unknown,222.00
2024-08-01,Event / Trade show,APAC,3288.00
2024-08-01,Event / Trade show,EMEA - DACH,3966.00
2024-08-01,Event / Trade show,EMEA - North,3717.00
2024-08-01,Event / Trade show,EMEA - South,6348.00
2024-08-01,Event / Trade show,EMEA - UK&I,3771.00
2024-08-01,Event / Trade show,LATAM,1008.00
2024-08-01,Event / Trade show,North America,11017.00
2024-08-01,Event / Trade show,Unknown,3324.00
2024-08-01,Paid search - Enterprise LP,APAC,1116.00
2024-08-01,Paid search - Enterprise LP,EMEA - DACH,1560.00
2024-08-01,Paid search - Enterprise LP,EMEA - North,1655.00
2024-08-01,Paid search - Enterprise LP,EMEA - South,524.00
2024-08-01,Paid search - Enterprise LP,EMEA - UK&I,1870.00
2024-08-01,Paid search - Enterprise LP,LATAM,590.00
2024-08-01,Paid search - Enterprise LP,North America,2334.00
2024-08-01,Paid search - Enterprise LP,Unknown,277.00
2024-08-01,Paid search - Self-serve,APAC,12859.00
2024-08-01,Paid search - Self-serve,EMEA - DACH,20387.00
2024-08-01,Paid search - Self-serve,EMEA - North,10835.00
2024-08-01,Paid search - Self-serve,EMEA - South,12164.00
2024-08-01,Paid search - Self-serve,EMEA - UK&I,14602.00
2024-08-01,Paid search - Self-serve,LATAM,13051.00
2024-08-01,Paid search - Self-serve,North America,30054.00
2024-08-01,Paid social,APAC,1164.00
2024-08-01,Paid social,EMEA - DACH,1648.00
2024-08-01,Paid social,EMEA - North,1748.00
2024-08-01,Paid social,EMEA - South,1023.00
2024-08-01,Paid social,EMEA - UK&I,704.00
2024-08-01,Paid social,LATAM,167.00
2024-08-01,Paid social,North America,2074.00
2024-08-01,Paid social,Unknown,212.00
2024-08-01,Partner MDF,APAC,761.00
2024-08-01,Partner MDF,EMEA - DACH,3874.00
2024-08-01,Partner MDF,EMEA - North,1280.00
2024-08-01,Partner MDF,EMEA - South,2188.00
2024-08-01,Partner MDF,EMEA - UK&I,1477.00
2024-08-01,Partner MDF,LATAM,1029.00
2024-08-01,Partner MDF,North America,3856.00
2024-08-01,Webinar,APAC,359.00
2024-08-01,Webinar,EMEA - DACH,1055.00
2024-08-01,Webinar,EMEA - North,799.00
2024-08-01,Webinar,EMEA - South,806.00
2024-08-01,Webinar,EMEA - UK&I,960.00
2024-08-01,Webinar,LATAM,131.00
2024-08-01,Webinar,North America,2352.00
2024-08-01,Webinar,Unknown,662.00
2024-09-01,Community sponsorships,APAC,2204.00
2024-09-01,Community sponsorships,EMEA - DACH,6783.00
2024-09-01,Community sponsorships,EMEA - North,3007.00
2024-09-01,Community sponsorships,EMEA - South,2718.00
2024-09-01,Community sponsorships,EMEA - UK&I,1850.00
2024-09-01,Community sponsorships,LATAM,2535.00
2024-09-01,Community sponsorships,North America,6112.00
2024-09-01,Content download,APAC,695.00
2024-09-01,Content download,EMEA - DACH,1312.00
2024-09-01,Content download,EMEA - North,953.00
2024-09-01,Content download,EMEA - South,816.00
2024-09-01,Content download,EMEA - UK&I,659.00
2024-09-01,Content download,LATAM,102.00
2024-09-01,Content download,North America,2418.00
2024-09-01,Content download,Unknown,853.00
2024-09-01,Event / Trade show,APAC,3157.00
2024-09-01,Event / Trade show,EMEA - DACH,6618.00
2024-09-01,Event / Trade show,EMEA - North,3284.00
2024-09-01,Event / Trade show,EMEA - South,6057.00
2024-09-01,Event / Trade show,EMEA - UK&I,3122.00
2024-09-01,Event / Trade show,LATAM,910.00
2024-09-01,Event / Trade show,North America,9696.00
2024-09-01,Event / Trade show,Unknown,878.00
2024-09-01,Paid search - Enterprise LP,APAC,1045.00
2024-09-01,Paid search - Enterprise LP,EMEA - DACH,1169.00
2024-09-01,Paid search - Enterprise LP,EMEA - North,1084.00
2024-09-01,Paid search - Enterprise LP,EMEA - South,429.00
2024-09-01,Paid search - Enterprise LP,EMEA - UK&I,1522.00
2024-09-01,Paid search - Enterprise LP,LATAM,232.00
2024-09-01,Paid search - Enterprise LP,North America,470.00
2024-09-01,Paid search - Enterprise LP,Unknown,1368.00
2024-09-01,Paid search - Self-serve,APAC,14515.00
2024-09-01,Paid search - Self-serve,EMEA - DACH,26455.00
2024-09-01,Paid search - Self-serve,EMEA - North,11673.00
2024-09-01,Paid search - Self-serve,EMEA - South,14356.00
2024-09-01,Paid search - Self-serve,EMEA - UK&I,11040.00
2024-09-01,Paid search - Self-serve,LATAM,10778.00
2024-09-01,Paid search - Self-serve,North America,35742.00
2024-09-01,Paid social,APAC,1097.00
2024-09-01,Paid social,EMEA - DACH,1148.00
2024-09-01,Paid social,EMEA - North,916.00
2024-09-01,Paid social,EMEA - South,1514.00
2024-09-01,Paid social,EMEA - UK&I,355.00
2024-09-01,Paid social,North America,3810.00
2024-09-01,Paid social,Unknown,1066.00
2024-09-01,Partner MDF,APAC,924.00
2024-09-01,Partner MDF,EMEA - DACH,4471.00
2024-09-01,Partner MDF,EMEA - North,1193.00
2024-09-01,Partner MDF,EMEA - South,1993.00
2024-09-01,Partner MDF,EMEA - UK&I,1997.00
2024-09-01,Partner MDF,LATAM,1730.00
2024-09-01,Partner MDF,North America,2940.00
2024-09-01,Webinar,APAC,483.00
2024-09-01,Webinar,EMEA - DACH,1281.00
2024-09-01,Webinar,EMEA - North,751.00
2024-09-01,Webinar,EMEA - South,721.00
2024-09-01,Webinar,EMEA - UK&I,703.00
2024-09-01,Webinar,North America,1937.00
2024-09-01,Webinar,Unknown,226.00
2024-10-01,Community sponsorships,APAC,2631.00
2024-10-01,Community sponsorships,EMEA - DACH,5526.00
2024-10-01,Community sponsorships,EMEA - North,2166.00
2024-10-01,Community sponsorships,EMEA - South,2631.00
2024-10-01,Community sponsorships,EMEA - UK&I,3026.00
2024-10-01,Community sponsorships,LATAM,3444.00
2024-10-01,Community sponsorships,North America,8821.00
2024-10-01,Content download,APAC,651.00
2024-10-01,Content download,EMEA - DACH,1920.00
2024-10-01,Content download,EMEA - North,913.00
2024-10-01,Content download,EMEA - South,745.00
2024-10-01,Content download,EMEA - UK&I,594.00
