lead_id,created_date,lead_source,account_id,workspace_id,email_domain,pql_rule_v1_flag,status,converted_opportunity_id,converted_date,owner_id
00QL0021936,2024-01-03,SDR Outbound,001A001067,,,0,Nurture,,,005S0004
00QL0008873,2024-01-03,Event / Trade show,001A006938,,,0,Disqualified - No fit,,,005S0000
00QL0008832,2024-01-03,Content download,001A007789,,,0,Disqualified - No response,,,005S0001
00QL0008772,2024-01-04,Content download,,,,0,Nurture,,,005S0003
00QL0008813,2024-01-04,Content download,001A008843,,,0,Nurture,,,005S0003
00QL0008803,2024-01-04,Content download,001A004993,,,0,Disqualified - No response,,,005S0005
00QL0008886,2024-01-04,Event / Trade show,001A004730,,,0,Disqualified - No response,,,005S0005
00QL0008901,2024-01-04,Paid social,001A006403,,,0,Nurture,,,005S0002
00QL0008894,2024-01-04,Paid social,001A000427,,,0,Nurture,,,005S0003
00QL0008890,2024-01-04,Event / Trade show,001A005970,,,0,Nurture,,,005S0002
00QL0021889,2024-01-04,SDR Outbound,001A000494,,,0,Nurture,,,005S0003
00QL0008869,2024-01-04,Event / Trade show,001A000765,,,0,Nurture,,,005S0000
00QL0021912,2024-01-04,SDR Outbound,001A005568,,,0,Nurture,,,005S0000
00QL0021929,2024-01-04,SDR Outbound,001A004923,,,0,Nurture,,,005S0005
00QL0008818,2024-01-04,Content download,001A000955,,,0,Nurture,,,005S0001
00QL0021945,2024-01-04,SDR Outbound,001A003980,,,0,Disqualified - No fit,,,005S0000
00QL0021930,2024-01-04,SDR Outbound,001A005050,,,0,Nurture,,,005S0001
00QL0021933,2024-01-05,SDR Outbound,001A008348,,,0,Disqualified - No response,,,005S0000
00QL0021915,2024-01-05,SDR Outbound,001A002380,,,0,Disqualified - Student / hobbyist,,,005S0003
00QL0008749,2024-01-05,Webinar,001A001913,,,0,Disqualified - No fit,,,005S0002
00QL0008856,2024-01-05,Content download,001A007546,,,0,Converted,006O0000007,2024-01-25,005S0002
00QL0008804,2024-01-05,Content download,001A006921,,,0,Disqualified - No response,,,005S0003
00QL0008850,2024-01-05,Content download,001A002114,,,0,Nurture,,,005S0000
00QL0021885,2024-01-05,SDR Outbound,001A005112,,,0,Nurture,,,005S0003
00QL0008765,2024-01-05,Webinar,001A001205,,,0,Disqualified - Student / hobbyist,,,005S0000
00QL0008809,2024-01-05,Content download,001A000557,,,0,Disqualified - No response,,,005S0002
00QL0021896,2024-01-05,SDR Outbound,001A003836,,,0,Nurture,,,005S0004
00QL0008928,2024-01-05,Paid search - Enterprise LP,001A003222,,,0,Nurture,,,005S0004
00QL0008764,2024-01-05,Webinar,001A004038,,,0,Disqualified - No fit,,,005S0002
00QL0008934,2024-01-05,Paid search - Enterprise LP,001A005006,,,0,Nurture,,,005S0004
00QL0008848,2024-01-05,Content download,001A005529,,,0,Disqualified - No fit,,,005S0004
00QL0021935,2024-01-06,SDR Outbound,001A003977,,,0,Nurture,,,005S0000
00QL0021939,2024-01-06,SDR Outbound,001A008027,,,0,Nurture,,,005S0003
00QL0021943,2024-01-06,SDR Outbound,001A004791,,,0,Disqualified - No response,,,005S0000
00QL0008854,2024-01-06,Content download,001A000001,,,0,Disqualified - Student / hobbyist,,,005S0005
00QL0008825,2024-01-06,Content download,001A005140,,,0,Disqualified - No response,,,005S0004
00QL0008858,2024-01-06,Content download,001A000688,,,0,Disqualified - No fit,,,005S0003
00QL0021883,2024-01-06,SDR Outbound,001A002799,,,0,Nurture,,,005S0004
00QL0021899,2024-01-06,SDR Outbound,001A002099,,,0,Nurture,,,005S0001
00QL0008887,2024-01-06,Event / Trade show,001A004108,,,0,Disqualified - Student / hobbyist,,,005S0006
00QL0008789,2024-01-06,Content download,001A000263,,,0,Nurture,,,005S0000
00QL0008891,2024-01-06,Event / Trade show,001A008106,,,0,Nurture,,,005S0001
00QL0008899,2024-01-06,Paid social,,,,0,Disqualified - Student / hobbyist,,,005S0003
00QL0008774,2024-01-06,Content download,001A000833,,,0,Nurture,,,005S0003
00QL0008935,2024-01-06,Paid search - Enterprise LP,001A002401,,,0,Disqualified - No fit,,,005S0004
00QL0008911,2024-01-06,Paid social,001A005298,,,0,Disqualified - No response,,,005S0001
00QL0008829,2024-01-07,Content download,001A006965,,,0,Disqualified - No response,,,005S0004
00QL0008920,2024-01-07,Paid social,001A003738,,,0,Nurture,,,005S0003
00QL0021905,2024-01-07,SDR Outbound,001A000160,,,0,Nurture,,,005S0000
00QL0008835,2024-01-07,Content download,001A007784,,,0,Converted,006O0000006,2024-01-25,005S0002
00QL0008915,2024-01-07,Paid social,001A006449,,,0,Disqualified - No fit,,,005S0004
00QL0008872,2024-01-07,Event / Trade show,001A000255,,,0,Disqualified - No fit,,,005S0004
00QL0008729,2024-01-07,Webinar,001A008404,,,0,Nurture,,,005S0006
00QL0008748,2024-01-07,Webinar,001A002064,,,0,Nurture,,,005S0005
00QL0008845,2024-01-07,Content download,001A005512,,,0,Disqualified - No fit,,,005S0002
00QL0008918,2024-01-08,Paid social,001A000073,,,0,Disqualified - Student / hobbyist,,,005S0001
00QL0021893,2024-01-08,SDR Outbound,001A001906,,,0,Disqualified - No response,,,005S0005
00QL0026088,2024-01-08,Partner referral,001A008273,,,0,Disqualified - No fit,,,
00QL0008731,2024-01-08,Webinar,001A007988,,,0,Disqualified - No response,,,005S0004
00QL0008922,2024-01-08,Paid social,001A003162,,,0,Disqualified - No response,,,005S0000
00QL0008874,2024-01-08,Event / Trade show,001A005808,,,0,Nurture,,,005S0000
00QL0008724,2024-01-08,Webinar,001A004978,,,0,Nurture,,,005S0004
00QL0008819,2024-01-08,Content download,001A007188,,,0,Disqualified - Student / hobbyist,,,005S0000
00QL0021926,2024-01-08,SDR Outbound,001A007717,,,0,Nurture,,,005S0003
00QL0008785,2024-01-08,Content download,001A004193,,,0,Nurture,,,005S0003
00QL0021952,2024-01-09,SDR Outbound,001A000907,,,0,Nurture,,,005S0000
00QL0008870,2024-01-09,Event / Trade show,001A004885,,,0,Disqualified - No response,,,005S0003
00QL0021911,2024-01-09,SDR Outbound,001A008155,,,0,Disqualified - No response,,,005S0006
00QL0021914,2024-01-09,SDR Outbound,001A008796,,,0,Nurture,,,005S0002
00QL0008849,2024-01-09,Content download,001A003394,,,0,Disqualified - No fit,,,005S0004
00QL0008900,2024-01-09,Paid social,001A006160,,,0,Nurture,,,005S0003
00QL0008736,2024-01-09,Webinar,001A004516,,,0,Disqualified - No response,,,005S0005
00QL0008839,2024-01-09,Content download,001A007090,,,0,Converted,006O0000001,2024-01-18,005S0002
00QL0008739,2024-01-09,Webinar,001A003793,,,0,Disqualified - No response,,,005S0000
00QL0008840,2024-01-09,Content download,001A004484,,,0,Nurture,,,005S0004
00QL0008902,2024-01-09,Paid social,001A008315,,,0,Nurture,,,005S0002
00QL0008805,2024-01-10,Content download,,,,0,Disqualified - Student / hobbyist,,,005S0004
00QL0008919,2024-01-10,Paid social,001A001994,,,0,Nurture,,,005S0002
00QL0000022,2024-01-10,Product (PQL),001A007048,ws_017033,,1,Converted,006O0000000,2024-01-16,
00QL0008779,2024-01-10,Content download,001A008084,,,0,Nurture,,,005S0000
00QL0008842,2024-01-10,Content download,001A000396,,,0,Disqualified - No fit,,,005S0003
00QL0008926,2024-01-10,Paid search - Enterprise LP,001A007319,,,0,Nurture,,,005S0005
00QL0008820,2024-01-10,Content download,001A003135,,,0,Disqualified - No response,,,005S0004
00QL0008732,2024-01-10,Webinar,001A007989,,,0,Disqualified - No fit,,,005S0004
00QL0008940,2024-01-10,Paid search - Enterprise LP,001A000669,,,0,Disqualified - No fit,,,005S0005
00QL0021946,2024-01-10,SDR Outbound,001A008844,,,0,Nurture,,,005S0004
00QL0021932,2024-01-10,SDR Outbound,001A006203,,,0,Nurture,,,005S0000
00QL0008828,2024-01-10,Content download,,,,0,Nurture,,,005S0004
00QL0008735,2024-01-10,Webinar,001A003594,,,0,Nurture,,,005S0000
00QL0021951,2024-01-10,SDR Outbound,001A006665,,,0,Disqualified - No fit,,,005S0004
00QL0008904,2024-01-11,Paid social,001A006902,,,0,Nurture,,,005S0004
00QL0026087,2024-01-11,Partner referral,001A007926,,,0,Converted,006O0000008,2024-01-26,
00QL0008778,2024-01-11,Content download,001A004928,,,0,Disqualified - No response,,,005S0003
00QL0008783,2024-01-11,Content download,001A006313,,,0,Disqualified - No fit,,,005S0000
00QL0008727,2024-01-11,Webinar,001A003441,,,0,Disqualified - No response,,,005S0000
00QL0008868,2024-01-11,Event / Trade show,001A004454,,,0,Nurture,,,005S0002
00QL0008843,2024-01-11,Content download,001A000618,,,0,Converted,006O0000010,2024-01-31,005S0000
00QL0008766,2024-01-11,Webinar,001A004475,,,0,Nurture,,,005S0004
00QL0008798,2024-01-11,Content download,001A003785,,,0,Nurture,,,005S0006
00QL0008810,2024-01-11,Content download,001A007778,,,0,Disqualified - Student / hobbyist,,,005S0001
00QL0021910,2024-01-11,SDR Outbound,001A000796,,,0,Disqualified - No response,,,005S0000
00QL0008791,2024-01-12,Content download,001A005118,,,0,Nurture,,,005S0000
00QL0021957,2024-01-12,SDR Outbound,001A002004,,,0,Disqualified - No fit,,,005S0000
00QL0021925,2024-01-12,SDR Outbound,001A002563,,,0,Disqualified - No response,,,005S0002
00QL0021919,2024-01-12,SDR Outbound,001A004334,,,0,Nurture,,,005S0003
00QL0021913,2024-01-12,SDR Outbound,001A003936,,,0,Nurture,,,005S0005
00QL0008937,2024-01-12,Paid search - Enterprise LP,001A000818,,,0,Disqualified - No response,,,005S0004
00QL0008776,2024-01-12,Content download,001A007486,,,0,Nurture,,,005S0001
00QL0008944,2024-01-12,Paid search - Enterprise LP,001A006076,,,0,Disqualified - No response,,,005S0004
00QL0008737,2024-01-12,Webinar,001A006710,,,0,Nurture,,,005S0000
00QL0008917,2024-01-12,Paid social,,,,0,Nurture,,,005S0004
00QL0008792,2024-01-13,Content download,001A001865,,,0,Disqualified - Student / hobbyist,,,005S0004
00QL0008851,2024-01-13,Content download,001A002829,,,0,Nurture,,,005S0004
00QL0008906,2024-01-13,Paid social,,,,0,Disqualified - No response,,,005S0004
00QL0008814,2024-01-13,Content download,,,,0,Disqualified - No response,,,005S0004
00QL0026085,2024-01-13,Partner referral,001A005973,,,0,Disqualified - No fit,,,
00QL0008834,2024-01-13,Content download,,,,0,Disqualified - No response,,,005S0003
00QL0008942,2024-01-13,Paid search - Enterprise LP,001A005007,,,0,Disqualified - No response,,,005S0004
00QL0008853,2024-01-13,Content download,001A003107,,,0,Converted,006O0000005,2024-01-23,005S0004
00QL0000028,2024-01-13,Product (PQL),001A002469,ws_021951,,1,Disqualified - Student / hobbyist,,,
00QL0008876,2024-01-13,Event / Trade show,001A008296,,,0,Nurture,,,005S0003
00QL0008948,2024-01-13,Paid search - Enterprise LP,001A006939,,,0,Nurture,,,005S0001
00QL0008857,2024-01-13,Content download,001A004697,,,0,Disqualified - No response,,,005S0002
00QL0021888,2024-01-13,SDR Outbound,001A003110,,,0,Nurture,,,005S0001
00QL0008823,2024-01-13,Content download,001A000231,,,0,Disqualified - Student / hobbyist,,,005S0005
00QL0008794,2024-01-13,Content download,001A002970,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0026084,2024-01-13,Partner referral,001A005021,,,0,Disqualified - No fit,,,
00QL0008780,2024-01-14,Content download,001A001503,,,0,Disqualified - No response,,,005S0005
00QL0021900,2024-01-14,SDR Outbound,001A006266,,,0,Nurture,,,005S0000
00QL0008864,2024-01-14,Content download,001A005999,,,0,Disqualified - No response,,,005S0004
00QL0008867,2024-01-14,Event / Trade show,001A006871,,,0,Disqualified - No response,,,005S0004
00QL0021953,2024-01-14,SDR Outbound,001A002914,,,0,Nurture,,,005S0005
00QL0008741,2024-01-15,Webinar,001A004754,,,0,Disqualified - No response,,,005S0006
00QL0008921,2024-01-15,Paid social,001A001437,,,0,Disqualified - No response,,,005S0002
00QL0008775,2024-01-15,Content download,001A005395,,,0,Nurture,,,005S0005
00QL0008905,2024-01-15,Paid social,001A003020,,,0,Nurture,,,005S0002
00QL0008885,2024-01-15,Event / Trade show,001A004112,,,0,Disqualified - No fit,,,005S0003
00QL0008879,2024-01-15,Event / Trade show,001A007844,,,0,Nurture,,,005S0000
00QL0021949,2024-01-15,SDR Outbound,001A003918,,,0,Nurture,,,005S0004
00QL0008762,2024-01-15,Webinar,001A008263,,,0,Disqualified - No fit,,,005S0006
00QL0021891,2024-01-15,SDR Outbound,001A006604,,,0,Disqualified - No response,,,005S0004
00QL0021931,2024-01-15,SDR Outbound,001A001105,,,0,Nurture,,,005S0003
00QL0021908,2024-01-16,SDR Outbound,001A005112,,,0,Disqualified - No fit,,,005S0003
00QL0021898,2024-01-16,SDR Outbound,001A006282,,,0,Nurture,,,005S0002
00QL0021886,2024-01-16,SDR Outbound,001A008819,,,0,Nurture,,,005S0006
00QL0021904,2024-01-16,SDR Outbound,001A008355,,,0,Disqualified - No response,,,005S0004
00QL0008938,2024-01-16,Paid search - Enterprise LP,001A000384,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0008871,2024-01-16,Event / Trade show,001A005087,,,0,Nurture,,,005S0005
00QL0000024,2024-01-16,Product (PQL),001A003431,ws_018412,,1,Disqualified - No response,,,
00QL0008916,2024-01-16,Paid social,001A007770,,,0,Converted,006O0000014,2024-02-04,005S0000
00QL0000003,2024-01-16,Product (PQL),,ws_001087,gmail.com,1,Disqualified - Student / hobbyist,,,
00QL0008786,2024-01-16,Content download,001A002227,,,0,Disqualified - No response,,,005S0000
00QL0000007,2024-01-16,Product (PQL),001A002672,ws_004419,,1,Disqualified - No response,,,
00QL0008895,2024-01-16,Paid social,,,,0,Nurture,,,005S0003
00QL0008744,2024-01-16,Webinar,001A002927,,,0,Converted,006O0000004,2024-01-22,005S0003
00QL0008817,2024-01-16,Content download,001A000234,,,0,Nurture,,,005S0006
00QL0008738,2024-01-16,Webinar,001A001799,,,0,Disqualified - No fit,,,005S0003
00QL0008812,2024-01-17,Content download,001A006067,,,0,Disqualified - No fit,,,005S0001
00QL0000014,2024-01-17,Product (PQL),001A008533,ws_006470,,1,Converted,006O0000003,2024-01-22,
00QL0000025,2024-01-17,Product (PQL),001A007639,ws_018596,,1,Disqualified - No response,,,
00QL0021901,2024-01-17,SDR Outbound,001A000093,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0000029,2024-01-17,Product (PQL),001A007807,ws_022577,,1,Nurture,,,
00QL0021944,2024-01-17,SDR Outbound,001A001133,,,0,Nurture,,,005S0003
00QL0008816,2024-01-17,Content download,001A002318,,,0,Converted,006O0000018,2024-02-13,005S0002
00QL0008811,2024-01-17,Content download,001A008125,,,0,Disqualified - No fit,,,005S0005
00QL0000027,2024-01-17,Product (PQL),001A003219,ws_020600,,1,Disqualified - No response,,,
00QL0008750,2024-01-17,Webinar,001A001815,,,0,Nurture,,,005S0002
00QL0008875,2024-01-17,Event / Trade show,001A005307,,,0,Nurture,,,005S0001
00QL0008800,2024-01-17,Content download,001A000232,,,0,Disqualified - No fit,,,005S0006
00QL0008759,2024-01-17,Webinar,001A000242,,,0,Nurture,,,005S0001
00QL0008888,2024-01-17,Event / Trade show,001A003405,,,0,Disqualified - No fit,,,005S0004
00QL0008790,2024-01-17,Content download,001A001464,,,0,Disqualified - Student / hobbyist,,,005S0004
00QL0008939,2024-01-17,Paid search - Enterprise LP,001A001737,,,0,Nurture,,,005S0001
00QL0008907,2024-01-17,Paid social,001A008966,,,0,Nurture,,,005S0002
00QL0008767,2024-01-17,Webinar,001A007465,,,0,Nurture,,,005S0000
00QL0021907,2024-01-17,SDR Outbound,001A007949,,,0,Disqualified - No fit,,,005S0006
00QL0008755,2024-01-18,Webinar,,,,0,Disqualified - No fit,,,005S0004
00QL0008763,2024-01-18,Webinar,001A000026,,,0,Nurture,,,005S0005
00QL0021909,2024-01-18,SDR Outbound,001A000722,,,0,Nurture,,,005S0000
00QL0008773,2024-01-18,Content download,001A001112,,,0,Disqualified - No fit,,,005S0003
00QL0008833,2024-01-18,Content download,001A005260,,,0,Nurture,,,005S0004
00QL0000008,2024-01-18,Product (PQL),001A001114,ws_004614,,1,Disqualified - No response,,,
00QL0008884,2024-01-18,Event / Trade show,001A005209,,,0,Disqualified - No fit,,,005S0000
00QL0000009,2024-01-18,Product (PQL),001A004299,ws_004668,,1,Converted,006O0000002,2024-01-21,
00QL0000013,2024-01-18,Product (PQL),,ws_006214,outlook.com,1,Disqualified - No response,,,
00QL0008866,2024-01-18,Content download,001A004201,,,0,Nurture,,,005S0004
00QL0008951,2024-01-18,Paid search - Enterprise LP,001A008715,,,0,Nurture,,,005S0000
00QL0021890,2024-01-18,SDR Outbound,001A000399,,,0,Nurture,,,005S0005
00QL0000018,2024-01-18,Product (PQL),001A002752,ws_013149,,1,Nurture,,,
00QL0021903,2024-01-19,SDR Outbound,001A002473,,,0,Disqualified - No response,,,005S0002
00QL0026089,2024-01-19,Partner referral,001A002145,,,0,Disqualified - No response,,,
00QL0021940,2024-01-19,SDR Outbound,001A006764,,,0,Nurture,,,005S0005
00QL0008733,2024-01-19,Webinar,001A005602,,,0,Disqualified - No fit,,,005S0006
00QL0008793,2024-01-19,Content download,001A000927,,,0,Nurture,,,005S0004
00QL0008821,2024-01-19,Content download,001A000055,,,0,Nurture,,,005S0004
00QL0026086,2024-01-19,Partner referral,001A006657,,,0,Nurture,,,
00QL0021917,2024-01-19,SDR Outbound,001A005531,,,0,Disqualified - No fit,,,005S0004
00QL0008769,2024-01-19,Content download,001A000825,,,0,Disqualified - No response,,,005S0000
00QL0008801,2024-01-19,Content download,001A003828,,,0,Disqualified - No response,,,005S0006
00QL0000012,2024-01-20,Product (PQL),001A006196,ws_005272,,1,Nurture,,,
00QL0008740,2024-01-20,Webinar,001A004065,,,0,Disqualified - Student / hobbyist,,,005S0004
00QL0000005,2024-01-20,Product (PQL),001A002645,ws_002189,,1,Nurture,,,
00QL0008923,2024-01-20,Paid social,001A001545,,,0,Disqualified - No fit,,,005S0002
00QL0021923,2024-01-20,SDR Outbound,001A002563,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0008787,2024-01-20,Content download,001A003667,,,0,Nurture,,,005S0000
00QL0008788,2024-01-20,Content download,001A008209,,,0,Disqualified - No response,,,005S0006
00QL0008892,2024-01-20,Event / Trade show,001A003847,,,0,Nurture,,,005S0004
00QL0008824,2024-01-20,Content download,001A000314,,,0,Disqualified - No response,,,005S0002
00QL0008830,2024-01-20,Content download,001A006588,,,0,Nurture,,,005S0003
00QL0008831,2024-01-20,Content download,001A006134,,,0,Nurture,,,005S0005
00QL0008930,2024-01-21,Paid search - Enterprise LP,001A004741,,,0,Disqualified - No response,,,005S0001
00QL0008914,2024-01-21,Paid social,001A003320,,,0,Disqualified - No fit,,,005S0000
00QL0008910,2024-01-21,Paid social,001A007148,,,0,Disqualified - No response,,,005S0004
00QL0008897,2024-01-21,Paid social,001A005095,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0008725,2024-01-21,Webinar,001A002748,,,0,Disqualified - No response,,,005S0002
00QL0021884,2024-01-21,SDR Outbound,001A002969,,,0,Nurture,,,005S0000
00QL0021887,2024-01-21,SDR Outbound,001A003935,,,0,Nurture,,,005S0001
00QL0008860,2024-01-21,Content download,001A006925,,,0,Nurture,,,005S0000
00QL0008859,2024-01-21,Content download,001A002752,,,0,Disqualified - No response,,,005S0003
00QL0026090,2024-01-21,Partner referral,001A000114,,,0,Disqualified - Student / hobbyist,,,
00QL0021897,2024-01-21,SDR Outbound,001A006226,,,0,Nurture,,,005S0002
00QL0021938,2024-01-21,SDR Outbound,001A000814,,,0,Disqualified - No fit,,,005S0000
00QL0008745,2024-01-21,Webinar,001A004082,,,0,Nurture,,,005S0003
00QL0008799,2024-01-21,Content download,001A003596,,,0,Disqualified - No response,,,005S0000
00QL0008743,2024-01-22,Webinar,,,,0,Nurture,,,005S0003
00QL0021892,2024-01-22,SDR Outbound,001A006110,,,0,Disqualified - No response,,,005S0000
00QL0021895,2024-01-22,SDR Outbound,001A008359,,,0,Disqualified - No response,,,005S0000
00QL0008861,2024-01-22,Content download,001A003889,,,0,Disqualified - No response,,,005S0001
00QL0008877,2024-01-22,Event / Trade show,001A008349,,,0,Nurture,,,005S0000
00QL0008946,2024-01-22,Paid search - Enterprise LP,001A006707,,,0,Nurture,,,005S0002
00QL0021934,2024-01-22,SDR Outbound,001A003539,,,0,Disqualified - No fit,,,005S0005
00QL0008808,2024-01-22,Content download,001A000325,,,0,Disqualified - No fit,,,005S0004
00QL0008924,2024-01-22,Paid social,001A008187,,,0,Nurture,,,005S0005
00QL0021918,2024-01-22,SDR Outbound,001A003207,,,0,Disqualified - No response,,,005S0000
00QL0021924,2024-01-22,SDR Outbound,001A008721,,,0,Disqualified - No fit,,,005S0002
00QL0008844,2024-01-22,Content download,001A001406,,,0,Nurture,,,005S0006
00QL0000000,2024-01-22,Product (PQL),001A001179,ws_000062,,1,Converted,006O0000015,2024-02-11,
00QL0000010,2024-01-22,Product (PQL),001A003820,ws_004850,,1,Disqualified - No fit,,,
00QL0008945,2024-01-23,Paid search - Enterprise LP,,,,0,Nurture,,,005S0004
00QL0000019,2024-01-23,Product (PQL),001A004297,ws_013745,,1,Disqualified - No response,,,
00QL0008758,2024-01-23,Webinar,,,,0,Nurture,,,005S0003
00QL0026083,2024-01-23,Partner referral,001A008811,,,0,Disqualified - Student / hobbyist,,,
00QL0008770,2024-01-23,Content download,001A008927,,,0,Nurture,,,005S0006
00QL0008771,2024-01-23,Content download,,,,0,Disqualified - No response,,,005S0004
00QL0008862,2024-01-23,Content download,001A004218,,,0,Nurture,,,005S0006
00QL0008882,2024-01-23,Event / Trade show,,,,0,Disqualified - No fit,,,005S0003
00QL0008927,2024-01-23,Paid search - Enterprise LP,001A007480,,,0,Nurture,,,005S0002
00QL0008893,2024-01-23,Paid social,001A006239,,,0,Disqualified - No fit,,,005S0003
00QL0008802,2024-01-23,Content download,001A006987,,,0,Disqualified - No response,,,005S0000
00QL0000004,2024-01-23,Product (PQL),001A003005,ws_001497,,1,Disqualified - No response,,,
00QL0008909,2024-01-23,Paid social,001A004750,,,0,Disqualified - No response,,,005S0001
00QL0021920,2024-01-23,SDR Outbound,001A005151,,,0,Nurture,,,005S0000
00QL0008852,2024-01-24,Content download,001A006630,,,0,Nurture,,,005S0003
00QL0008807,2024-01-24,Content download,001A000816,,,0,Disqualified - No fit,,,005S0006
00QL0008730,2024-01-24,Webinar,001A004122,,,0,Nurture,,,005S0001
00QL0000015,2024-01-24,Product (PQL),001A006811,ws_010771,,1,Nurture,,,
00QL0008898,2024-01-25,Paid social,001A000049,,,0,Converted,006O0000022,2024-02-20,005S0000
00QL0008880,2024-01-25,Event / Trade show,001A007648,,,0,Nurture,,,005S0005
00QL0021937,2024-01-25,SDR Outbound,001A003451,,,0,Nurture,,,005S0002
00QL0008933,2024-01-25,Paid search - Enterprise LP,001A003147,,,0,Nurture,,,005S0004
00QL0008753,2024-01-25,Webinar,001A002927,,,0,Nurture,,,005S0004
00QL0021922,2024-01-25,SDR Outbound,001A002775,,,0,Nurture,,,005S0005
00QL0021928,2024-01-25,SDR Outbound,001A005581,,,0,Nurture,,,005S0002
00QL0008795,2024-01-25,Content download,001A004979,,,0,Converted,006O0000021,2024-02-20,005S0006
00QL0021921,2024-01-25,SDR Outbound,001A001167,,,0,Disqualified - No response,,,005S0002
00QL0008746,2024-01-25,Webinar,001A006477,,,0,Disqualified - No response,,,005S0005
00QL0008760,2024-01-25,Webinar,001A000083,,,0,Disqualified - No response,,,005S0000
00QL0000011,2024-01-25,Product (PQL),001A005694,ws_005243,,1,Converted,006O0000013,2024-02-04,
00QL0000021,2024-01-25,Product (PQL),001A007862,ws_014344,,1,Disqualified - No fit,,,
00QL0008881,2024-01-26,Event / Trade show,001A008954,,,0,Disqualified - Student / hobbyist,,,005S0002
00QL0008728,2024-01-26,Webinar,001A004419,,,0,Nurture,,,005S0002
00QL0008726,2024-01-26,Webinar,001A006633,,,0,Nurture,,,005S0003
00QL0000001,2024-01-26,Product (PQL),001A008184,ws_000142,,1,Converted,006O0000025,2024-02-23,
00QL0008781,2024-01-26,Content download,,,,0,Disqualified - No fit,,,005S0003
00QL0008950,2024-01-26,Paid search - Enterprise LP,001A002490,,,0,Nurture,,,005S0006
00QL0008846,2024-01-26,Content download,001A008163,,,0,Nurture,,,005S0001
00QL0008754,2024-01-26,Webinar,001A006432,,,0,Disqualified - No fit,,,005S0000
00QL0008943,2024-01-26,Paid search - Enterprise LP,,,,0,Disqualified - Student / hobbyist,,,005S0004
00QL0000030,2024-01-26,Product (PQL),001A002353,ws_023967,,1,Disqualified - No response,,,
00QL0021941,2024-01-26,SDR Outbound,001A005549,,,0,Disqualified - No response,,,005S0005
00QL0021947,2024-01-26,SDR Outbound,001A001801,,,0,Disqualified - No fit,,,005S0004
00QL0008931,2024-01-26,Paid search - Enterprise LP,001A001434,,,0,Nurture,,,005S0001
00QL0008797,2024-01-26,Content download,001A003020,,,0,Nurture,,,005S0002
00QL0000026,2024-01-26,Product (PQL),001A001048,ws_019450,,1,Disqualified - No response,,,
