history_id,opportunity_id,field,old_value,new_value,created_by,created_at
017H00000141,006O0000045,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000142,006O0000046,Amount,,22000.0,migration_user,2025-01-15 03:00:00
017H00000143,006O0000046,CloseDate,,2024-04-06,migration_user,2025-01-15 03:00:00
017H00000144,006O0000046,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000145,006O0000047,Amount,,7000.0,migration_user,2025-01-15 03:00:00
017H00000146,006O0000047,CloseDate,,2024-05-27,migration_user,2025-01-15 03:00:00
017H00000147,006O0000047,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000148,006O0000048,Amount,,13700.0,migration_user,2025-01-15 03:00:00
017H00000149,006O0000048,CloseDate,,2024-04-19,migration_user,2025-01-15 03:00:00
017H00000150,006O0000048,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000151,006O0000049,Amount,,26000.0,migration_user,2025-01-15 03:00:00
017H00000152,006O0000049,CloseDate,,2024-04-04,migration_user,2025-01-15 03:00:00
017H00000153,006O0000049,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000154,006O0000050,Amount,,113600.0,migration_user,2025-01-15 03:00:00
017H00000155,006O0000050,CloseDate,,2024-08-07,migration_user,2025-01-15 03:00:00
017H00000156,006O0000050,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000157,006O0000051,Amount,,41700.0,migration_user,2025-01-15 03:00:00
017H00000158,006O0000051,CloseDate,,2024-04-29,migration_user,2025-01-15 03:00:00
017H00000159,006O0000051,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000160,006O0000052,Amount,,63000.0,migration_user,2025-01-15 03:00:00
017H00000161,006O0000052,CloseDate,,2024-04-25,migration_user,2025-01-15 03:00:00
017H00000162,006O0000052,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000163,006O0000053,Amount,,4300.0,migration_user,2025-01-15 03:00:00
017H00000164,006O0000053,CloseDate,,2024-04-22,migration_user,2025-01-15 03:00:00
017H00000165,006O0000053,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000166,006O0000054,Amount,,13200.0,migration_user,2025-01-15 03:00:00
017H00000167,006O0000054,CloseDate,,2024-04-25,migration_user,2025-01-15 03:00:00
017H00000168,006O0000054,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000169,006O0000055,Amount,,26900.0,migration_user,2025-01-15 03:00:00
017H00000170,006O0000055,CloseDate,,2024-06-22,migration_user,2025-01-15 03:00:00
017H00000171,006O0000055,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000172,006O0000056,Amount,,140400.0,migration_user,2025-01-15 03:00:00
017H00000173,006O0000056,CloseDate,,2024-08-19,migration_user,2025-01-15 03:00:00
017H00000174,006O0000056,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000175,006O0000057,Amount,,6100.0,migration_user,2025-01-15 03:00:00
017H00000176,006O0000057,CloseDate,,2024-07-16,migration_user,2025-01-15 03:00:00
017H00000177,006O0000057,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000178,006O0000058,Amount,,17600.0,migration_user,2025-01-15 03:00:00
017H00000179,006O0000058,CloseDate,,2024-08-24,migration_user,2025-01-15 03:00:00
017H00000180,006O0000058,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000181,006O0000059,Amount,,32300.0,migration_user,2025-01-15 03:00:00
017H00000182,006O0000059,CloseDate,,2024-04-26,migration_user,2025-01-15 03:00:00
017H00000183,006O0000059,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000184,006O0000060,Amount,,4800.0,migration_user,2025-01-15 03:00:00
017H00000185,006O0000060,CloseDate,,2024-08-07,migration_user,2025-01-15 03:00:00
017H00000186,006O0000060,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000187,006O0000061,Amount,,43100.0,migration_user,2025-01-15 03:00:00
017H00000188,006O0000061,CloseDate,,2024-04-21,migration_user,2025-01-15 03:00:00
017H00000189,006O0000061,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000190,006O0000062,Amount,,23000.0,migration_user,2025-01-15 03:00:00
017H00000191,006O0000062,CloseDate,,2024-06-05,migration_user,2025-01-15 03:00:00
017H00000192,006O0000062,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000193,006O0000063,Amount,,6700.0,migration_user,2025-01-15 03:00:00
017H00000194,006O0000063,CloseDate,,2024-09-05,migration_user,2025-01-15 03:00:00
017H00000195,006O0000063,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000196,006O0000064,Amount,,17700.0,migration_user,2025-01-15 03:00:00
017H00000197,006O0000064,CloseDate,,2024-05-10,migration_user,2025-01-15 03:00:00
017H00000198,006O0000064,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000199,006O0000065,Amount,,13200.0,migration_user,2025-01-15 03:00:00
017H00000200,006O0000065,CloseDate,,2024-07-12,migration_user,2025-01-15 03:00:00
017H00000201,006O0000065,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000202,006O0000066,Amount,,51300.0,migration_user,2025-01-15 03:00:00
017H00000203,006O0000066,CloseDate,,2024-06-01,migration_user,2025-01-15 03:00:00
017H00000204,006O0000066,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000205,006O0000067,Amount,,23700.0,migration_user,2025-01-15 03:00:00
017H00000206,006O0000067,CloseDate,,2024-07-24,migration_user,2025-01-15 03:00:00
017H00000207,006O0000067,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000208,006O0000068,Amount,,5600.0,migration_user,2025-01-15 03:00:00
017H00000209,006O0000068,CloseDate,,2024-11-15,migration_user,2025-01-15 03:00:00
017H00000210,006O0000068,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000211,006O0000069,Amount,,6300.0,migration_user,2025-01-15 03:00:00
017H00000212,006O0000069,CloseDate,,2024-06-21,migration_user,2025-01-15 03:00:00
017H00000213,006O0000069,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000214,006O0000070,Amount,,259600.0,migration_user,2025-01-15 03:00:00
017H00000215,006O0000070,CloseDate,,2024-05-21,migration_user,2025-01-15 03:00:00
017H00000216,006O0000070,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000217,006O0000071,Amount,,46500.0,migration_user,2025-01-15 03:00:00
017H00000218,006O0000071,CloseDate,,2024-05-17,migration_user,2025-01-15 03:00:00
017H00000219,006O0000071,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000220,006O0000072,Amount,,30200.0,migration_user,2025-01-15 03:00:00
017H00000221,006O0000072,CloseDate,,2024-05-22,migration_user,2025-01-15 03:00:00
017H00000222,006O0000072,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000223,006O0000073,Amount,,13600.0,migration_user,2025-01-15 03:00:00
017H00000224,006O0000073,CloseDate,,2024-04-17,migration_user,2025-01-15 03:00:00
017H00000225,006O0000073,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000226,006O0000074,Amount,,17600.0,migration_user,2025-01-15 03:00:00
017H00000227,006O0000074,CloseDate,,2024-05-06,migration_user,2025-01-15 03:00:00
017H00000228,006O0000074,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000229,006O0000075,Amount,,11000.0,migration_user,2025-01-15 03:00:00
017H00000230,006O0000075,CloseDate,,2024-09-08,migration_user,2025-01-15 03:00:00
017H00000231,006O0000075,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000232,006O0000076,Amount,,105100.0,migration_user,2025-01-15 03:00:00
017H00000233,006O0000076,CloseDate,,2024-06-07,migration_user,2025-01-15 03:00:00
017H00000234,006O0000076,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000235,006O0000077,Amount,,154400.0,migration_user,2025-01-15 03:00:00
017H00000236,006O0000077,CloseDate,,2024-08-14,migration_user,2025-01-15 03:00:00
017H00000237,006O0000077,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000238,006O0000078,Amount,,28400.0,migration_user,2025-01-15 03:00:00
017H00000239,006O0000078,CloseDate,,2024-10-09,migration_user,2025-01-15 03:00:00
017H00000240,006O0000078,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000241,006O0000079,Amount,,220900.0,migration_user,2025-01-15 03:00:00
017H00000242,006O0000079,CloseDate,,2024-07-09,migration_user,2025-01-15 03:00:00
017H00000243,006O0000079,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000244,006O0000080,Amount,,14600.0,migration_user,2025-01-15 03:00:00
017H00000245,006O0000080,CloseDate,,2024-05-07,migration_user,2025-01-15 03:00:00
017H00000246,006O0000080,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000247,006O0000081,Amount,,108800.0,migration_user,2025-01-15 03:00:00
017H00000248,006O0000081,CloseDate,,2024-06-09,migration_user,2025-01-15 03:00:00
017H00000249,006O0000081,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000250,006O0000082,Amount,,55800.0,migration_user,2025-01-15 03:00:00
017H00000251,006O0000082,CloseDate,,2024-05-24,migration_user,2025-01-15 03:00:00
017H00000252,006O0000082,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000253,006O0000083,Amount,,62100.0,migration_user,2025-01-15 03:00:00
017H00000254,006O0000083,CloseDate,,2024-05-13,migration_user,2025-01-15 03:00:00
017H00000255,006O0000083,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000256,006O0000084,Amount,,10600.0,migration_user,2025-01-15 03:00:00
017H00000257,006O0000084,CloseDate,,2024-07-06,migration_user,2025-01-15 03:00:00
017H00000258,006O0000084,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000259,006O0000085,Amount,,12500.0,migration_user,2025-01-15 03:00:00
017H00000260,006O0000085,CloseDate,,2024-04-30,migration_user,2025-01-15 03:00:00
017H00000261,006O0000085,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000262,006O0000086,Amount,,24300.0,migration_user,2025-01-15 03:00:00
017H00000263,006O0000086,CloseDate,,2024-06-28,migration_user,2025-01-15 03:00:00
017H00000264,006O0000086,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000265,006O0000087,Amount,,53200.0,migration_user,2025-01-15 03:00:00
017H00000266,006O0000087,CloseDate,,2024-05-27,migration_user,2025-01-15 03:00:00
017H00000267,006O0000087,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000268,006O0000088,Amount,,7600.0,migration_user,2025-01-15 03:00:00
017H00000269,006O0000088,CloseDate,,2024-08-12,migration_user,2025-01-15 03:00:00
017H00000270,006O0000088,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000271,006O0000089,Amount,,65700.0,migration_user,2025-01-15 03:00:00
017H00000272,006O0000089,CloseDate,,2024-07-11,migration_user,2025-01-15 03:00:00
017H00000273,006O0000089,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000274,006O0000090,Amount,,400600.0,migration_user,2025-01-15 03:00:00
017H00000275,006O0000090,CloseDate,,2024-08-16,migration_user,2025-01-15 03:00:00
017H00000276,006O0000090,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000277,006O0000091,Amount,,37900.0,migration_user,2025-01-15 03:00:00
017H00000278,006O0000091,CloseDate,,2024-06-27,migration_user,2025-01-15 03:00:00
017H00000279,006O0000091,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000280,006O0000092,Amount,,67500.0,migration_user,2025-01-15 03:00:00
017H00000281,006O0000092,CloseDate,,2024-07-08,migration_user,2025-01-15 03:00:00
017H00000282,006O0000092,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000283,006O0000093,Amount,,51000.0,migration_user,2025-01-15 03:00:00
017H00000284,006O0000093,CloseDate,,2024-06-24,migration_user,2025-01-15 03:00:00
017H00000285,006O0000093,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000286,006O0000094,Amount,,35900.0,migration_user,2025-01-15 03:00:00
017H00000287,006O0000094,CloseDate,,2024-05-28,migration_user,2025-01-15 03:00:00
017H00000288,006O0000094,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000289,006O0000095,Amount,,13600.0,migration_user,2025-01-15 03:00:00
017H00000290,006O0000095,CloseDate,,2024-06-04,migration_user,2025-01-15 03:00:00
017H00000291,006O0000095,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000292,006O0000096,Amount,,33100.0,migration_user,2025-01-15 03:00:00
017H00000293,006O0000096,CloseDate,,2024-07-07,migration_user,2025-01-15 03:00:00
017H00000294,006O0000096,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000295,006O0000097,Amount,,9500.0,migration_user,2025-01-15 03:00:00
017H00000296,006O0000097,CloseDate,,2024-06-07,migration_user,2025-01-15 03:00:00
017H00000297,006O0000097,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000298,006O0000098,Amount,,37800.0,migration_user,2025-01-15 03:00:00
017H00000299,006O0000098,CloseDate,,2024-09-18,migration_user,2025-01-15 03:00:00
017H00000300,006O0000098,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000301,006O0000099,Amount,,94500.0,migration_user,2025-01-15 03:00:00
017H00000302,006O0000099,CloseDate,,2024-05-15,migration_user,2025-01-15 03:00:00
017H00000303,006O0000099,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000304,006O0000100,Amount,,77600.0,migration_user,2025-01-15 03:00:00
017H00000305,006O0000100,CloseDate,,2024-10-19,migration_user,2025-01-15 03:00:00
017H00000306,006O0000100,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000307,006O0000101,Amount,,122400.0,migration_user,2025-01-15 03:00:00
017H00000308,006O0000101,CloseDate,,2024-08-04,migration_user,2025-01-15 03:00:00
017H00000309,006O0000101,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000310,006O0000102,Amount,,3400.0,migration_user,2025-01-15 03:00:00
017H00000311,006O0000102,CloseDate,,2024-12-06,migration_user,2025-01-15 03:00:00
017H00000312,006O0000102,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000313,006O0000103,Amount,,13000.0,migration_user,2025-01-15 03:00:00
017H00000314,006O0000103,CloseDate,,2024-08-01,migration_user,2025-01-15 03:00:00
017H00000315,006O0000103,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000316,006O0000104,Amount,,20900.0,migration_user,2025-01-15 03:00:00
017H00000317,006O0000104,CloseDate,,2024-06-07,migration_user,2025-01-15 03:00:00
017H00000318,006O0000104,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
017H00000319,006O0000105,Amount,,89900.0,migration_user,2025-01-15 03:00:00
017H00000320,006O0000105,CloseDate,,2025-01-15,migration_user,2025-01-15 03:00:00
017H00000321,006O0000105,StageName,,4 - Proposal,migration_user,2025-01-15 03:00:00
017H00000322,006O0000105,StageName,4 - Proposal,Closed Lost,005A0001,2025-01-22 07:12:26
017H00000323,006O0000105,ForecastCategoryName,Best Case,Omitted,005A0001,2025-01-22 07:12:26
017H00000324,006O0000105,CloseDate,2025-01-15,2025-01-21,005A0001,2025-01-22 07:12:26
017H00000325,006O0000106,Amount,,111500.0,migration_user,2025-01-15 03:00:00
017H00000326,006O0000106,CloseDate,,2024-06-30,migration_user,2025-01-15 03:00:00
017H00000327,006O0000106,StageName,,Closed Won,migration_user,2025-01-15 03:00:00
017H00000328,006O0000107,Amount,,60900.0,migration_user,2025-01-15 03:00:00
017H00000329,006O0000107,CloseDate,,2024-07-06,migration_user,2025-01-15 03:00:00
017H00000330,006O0000107,StageName,,Closed Lost,migration_user,2025-01-15 03:00:00
