opportunity_id,opportunity_name,account_id,opportunity_type,lead_source,owner_id,created_date,close_date,stage_name,forecast_category,amount,currency,is_closed,is_won,loss_reason,primary_competitor,primary_workspace_id,next_step,last_activity_date
006O0000023,Wendmark - New Business,001A006993,New Business,Product-led (PQL),005A0006,2024-02-21,2024-04-27,Closed Won,,15200.00,EUR,1,1,,,ws_006055,,2025-01-16
006O0000024,Altotech - New Business,001A008097,New Business,Product-led (PQL),005A0007,2024-02-21,2024-03-15,Closed Lost,,5000.00,EUR,1,0,Chose self-hosted Community edition,,ws_014492,,2025-01-15
006O0000025,Kestdata - New Business,001A008184,New Business,Product-led (PQL),005A0007,2024-02-23,2024-06-08,Closed Lost,,20500.00,EUR,1,0,Competitor - Workato,Zapier,ws_000142,,2025-01-16
006O0000026,Fjelcore - New Business,001D000025,New Business,Product-led (PQL),005A0001,2024-02-23,2024-05-19,Closed Lost,,78900.00,EUR,1,0,Missing feature / integration,,ws_013445,,2025-01-15
006O0000027,Ivenbridge - New Business,001A008932,New Business,Product-led (PQL),005A0002,2024-02-24,2024-08-27,Closed Lost,,9200.00,EUR,1,0,Chose self-hosted Community edition,Power Automate,ws_000272,,2025-01-24
006O0000028,Deltalogic - New Business,001A000995,New Business,Marketing (MQL),005A0001,2024-02-24,2024-05-11,Closed Lost,,6200.00,EUR,1,0,Competitor - Workato,,,,2025-01-16
006O0000029,Runelabs - New Business,001A001239,New Business,Product-led (PQL),005A0002,2024-02-27,2024-03-11,Closed Won,,6700.00,EUR,1,1,,Custom scripts,ws_008308,,2025-01-24
006O0000030,Fjelpath - New Business,001A002289,New Business,Marketing (MQL),005A0004,2024-02-27,2024-04-17,Closed Lost,,13400.00,EUR,1,0,Price / budget,,,,2025-01-19
006O0000031,Quarpath - New Business,001A004891,New Business,Product-led (PQL),005A0004,2024-03-01,2024-04-24,Closed Lost,,49600.00,GBP,1,0,Competitor - Make,,ws_023921,,2025-01-19
006O0000032,Quarline - New Business,001A003534,New Business,Product-led (PQL),005A0003,2024-03-05,2024-03-29,Closed Won,,14500.00,USD,1,1,,,ws_020322,,2025-01-19
006O0000033,Sellavik - New Business,001A004245,New Business,Product-led (PQL),005A0003,2024-03-06,2024-05-31,Closed Lost,,76300.00,GBP,1,0,Price / budget,,ws_006698,,2025-01-24
006O0000034,Nexawave - New Business,001A000838,New Business,Marketing (MQL),005A0000,2024-03-06,2024-04-22,Closed Lost,,50300.00,EUR,1,0,Price / budget,,,,2025-01-16
006O0000035,Opalmark - New Business,001A000442,New Business,Product-led (PQL),005A0000,2024-03-08,2024-06-17,Closed Lost,,179100.00,USD,1,0,Chose self-hosted Community edition,Custom scripts,ws_003295,,2025-01-22
006O0000036,Evopath - New Business,001A007087,New Business,Inbound,005A0004,2024-03-08,2024-06-14,Closed Lost,,77900.00,GBP,1,0,Chose self-hosted Community edition,,ws_003166,,2025-01-22
006O0000037,Cobalsys - New Business,001A004880,New Business,Product-led (PQL),005A0001,2024-03-09,2024-05-03,Closed Won,,35200.00,EUR,1,1,,,ws_005722,,2025-01-19
006O0000038,Nordware - New Business,001A000815,New Business,Product-led (PQL),005A0001,2024-03-10,2024-07-22,Closed Lost,,185600.00,USD,1,0,Competitor - Power Automate,Power Automate,ws_019889,,2025-01-18
006O0000039,Bramdata - New Business,001A007146,New Business,Product-led (PQL),005A0001,2024-03-11,2024-08-02,Closed Lost,,19300.00,EUR,1,0,Chose self-hosted Community edition,,ws_009469,,2025-01-19
006O0000040,Wendcore - New Business,001A006629,New Business,Marketing (MQL),005A0000,2024-03-11,2024-08-03,Closed Lost,,,USD,1,0,Missing feature / integration,,,,2025-01-17
006O0000041,Solvbridge - New Business,001A000095,New Business,Marketing (MQL),005A0004,2024-03-11,2024-06-29,Closed Lost,,42000.00,USD,1,0,Price / budget,,,,2025-01-15
006O0000042,Briomark - New Business,001A000055,New Business,Marketing (MQL),005A0007,2024-03-12,2024-04-22,Closed Lost,,10400.00,USD,1,0,Timing,,,,2025-01-17
006O0000043,Evobridge - New Business,001A003754,New Business,Marketing (MQL),005A0002,2024-03-13,2024-04-14,Closed Lost,,18900.00,EUR,1,0,Timing,Zapier,,,2025-01-17
006O0000044,Valicore - New Business,001A008016,New Business,Product-led (PQL),005A0007,2024-03-14,2024-06-19,Closed Lost,,75300.00,USD,1,0,No decision / status quo,Workato,ws_009930,,2025-01-19
006O0000045,Boreavik - New Business,001A005701,New Business,Product-led (PQL),005A0001,2024-03-15,2024-09-17,Closed Lost,,16200.00,EUR,1,0,,,ws_009283,,2025-01-19
006O0000046,Ternvik - New Business,001A002034,New Business,Product-led (PQL),005A0002,2024-03-15,2024-04-06,Closed Won,,22000.00,EUR,1,1,,,ws_023809,,2025-01-20
006O0000047,Oriopoint - New Business,001A001500,New Business,Marketing (MQL),005A0006,2024-03-15,2024-05-27,Closed Lost,,7000.00,USD,1,0,No decision / status quo,Custom scripts,,,2025-01-22
006O0000048,Fjellabs - New Business,001A007095,New Business,Product-led (PQL),005A0005,2024-03-16,2024-04-19,Closed Won,,13700.00,GBP,1,1,,Make,ws_011182,,2025-01-21
006O0000049,Verastack - New Business,001A006203,New Business,Marketing (MQL),005A0001,2024-03-17,2024-04-04,Closed Lost,,26000.00,EUR,1,0,Champion left,,,,2025-01-20
006O0000050,Wendpoint - New Business,001A007543,New Business,Product-led (PQL),005A0005,2024-03-18,2024-08-07,Closed Lost,,113600.00,USD,1,0,Missing feature / integration,Workato,ws_005668,,2025-01-21
006O0000051,Lyraflow - New Business,001A008432,New Business,Product-led (PQL),005A0002,2024-03-22,2024-04-29,Closed Won,,41700.00,USD,1,1,,Make,ws_011497,,2025-01-16
006O0000052,Stracore - New Business,001A006575,New Business,Product-led (PQL),005A0001,2024-03-22,2024-04-25,Closed Lost,,63000.00,USD,1,0,Unresponsive,,ws_004406,,2025-01-21
006O0000053,Opalvik - New Business,001A002814,New Business,Partner,005A0002,2024-03-22,2024-04-22,Closed Lost,,4300.00,EUR,1,0,Unresponsive,,,,2025-01-22
006O0000054,Mirawave - New Business,001A005057,New Business,Product-led (PQL),005A0006,2024-03-23,2024-04-25,Closed Won,,13200.00,EUR,1,1,,Tray.io,ws_013489,,2025-01-23
006O0000055,Evoworks - New Business,001A008303,New Business,Product-led (PQL),005A0000,2024-03-23,2024-06-22,Closed Lost,,26900.00,EUR,1,0,Competitor - Zapier,,ws_017630,,2025-01-22
006O0000056,Verastack - New Business,001A006042,New Business,Inbound,005A0005,2024-03-24,2024-08-19,Closed Lost,,140400.00,USD,1,0,Security / compliance review,Zapier,ws_006436,,2025-01-17
006O0000057,Astercore - New Business,001A006868,New Business,Inbound,005A0004,2024-03-24,2024-07-16,Closed Lost,,6100.00,USD,1,0,No decision / status quo,,ws_016645,,2025-01-20
006O0000058,Sellaworks - New Business,001A001849,New Business,Product-led (PQL),005A0007,2024-03-25,2024-08-24,Closed Lost,,17600.00,USD,1,0,Competitor - Power Automate,Power Automate,ws_023173,,2025-01-21
006O0000059,Ciranet - New Business,001D000065,New Business,Inbound,005A0003,2024-03-25,2024-04-26,Closed Lost,,32300.00,USD,1,0,Competitor - Power Automate,,ws_009443,,2025-01-18
006O0000060,Lumoworks - New Business,001A001332,New Business,Marketing (MQL),005A0007,2024-03-25,2024-08-07,Closed Lost,,4800.00,EUR,1,0,Unresponsive,Custom scripts,,,2025-01-23
006O0000061,Wendwave - New Business,001A003332,New Business,Product-led (PQL),005A0002,2024-03-26,2024-04-21,Closed Lost,,43100.00,EUR,1,0,Chose self-hosted Community edition,,ws_003654,,2025-01-24
006O0000062,Ciratech - New Business,001A002808,New Business,Product-led (PQL),005A0001,2024-03-26,2024-06-05,Closed Won,,23000.00,EUR,1,1,,,ws_012956,,2025-01-17
006O0000063,Lyralabs - New Business,001A002269,New Business,Product-led (PQL),005A0000,2024-03-26,2024-09-05,Closed Lost,,6700.00,USD,1,0,Competitor - Workato,Workato,ws_004885,,2025-01-15
006O0000064,Vexstack - New Business,001A007468,New Business,Product-led (PQL),005A0005,2024-03-27,2024-05-10,Closed Lost,,17700.00,USD,1,0,Price / budget,,ws_007375,,2025-01-22
006O0000065,Pirasys - New Business,001A001063,New Business,Inbound,005A0006,2024-03-27,2024-07-12,Closed Lost,,13200.00,USD,1,0,No decision / status quo,Custom scripts,ws_011197,,2025-01-23
006O0000066,Granlabs - New Business,001A003961,New Business,Product-led (PQL),005A0001,2024-03-28,2024-06-01,Closed Won,,51300.00,EUR,1,1,,,ws_003086,,2025-01-24
006O0000067,Runebridge - New Business,001A001447,New Business,Outbound,005A0006,2024-03-28,2024-07-24,Closed Lost,,23700.00,EUR,1,0,Missing feature / integration,,,,2025-01-23
006O0000068,Nexanet - New Business,001A000832,New Business,Product-led (PQL),005A0006,2024-03-30,2024-11-15,Closed Lost,,5600.00,EUR,1,0,,,ws_011963,,2025-01-19
006O0000069,Sellanet - New Business,001A008157,New Business,Inbound,005A0005,2024-03-30,2024-06-21,Closed Lost,,6300.00,GBP,1,0,Security / compliance review,Zapier,ws_012017,,2025-01-23
006O0000070,Ivennet - New Business,001A001943,New Business,Inbound,005A0000,2024-03-31,2024-05-21,Closed Lost,,259600.00,EUR,1,0,Competitor - Power Automate,,ws_015223,,2025-01-24
006O0000071,Nordnet - New Business,001A002592,New Business,Inbound,005A0003,2024-03-31,2024-05-17,Closed Lost,,46500.00,USD,1,0,Security / compliance review,,ws_018666,,2025-01-22
006O0000072,Ivennet - New Business,001A001275,New Business,Product-led (PQL),005A0002,2024-04-01,2024-05-22,Closed Lost,,30200.00,EUR,1,0,Chose self-hosted Community edition,Zapier,ws_010376,,2025-01-15
006O0000073,Brammark - New Business,001A005259,New Business,Product-led (PQL),005A0002,2024-04-02,2024-04-17,Closed Won,,13600.00,EUR,1,1,,Tray.io,ws_003148,,2025-01-21
006O0000074,Lumobridge - New Business,001A005936,New Business,Product-led (PQL),005A0005,2024-04-02,2024-05-06,Closed Won,,17600.00,GBP,1,1,,Custom scripts,ws_005688,,2025-01-23
006O0000075,Opalworks - New Business,001A002190,New Business,Marketing (MQL),005A0001,2024-04-02,2024-09-08,Closed Lost,,11000.00,EUR,1,0,Competitor - Make,Power Automate,,,2025-01-18
006O0000076,Ciralogic - New Business,001A004650,New Business,Product-led (PQL),005A0006,2024-04-03,2024-06-07,Closed Won,,105100.00,USD,1,1,,Make,ws_019688,,2025-01-21
006O0000077,Briomark - New Business,001A002799,New Business,Marketing (MQL),005A0004,2024-04-05,2024-08-14,Closed Lost,,154400.00,USD,1,0,Other,Custom scripts,,,2025-01-16
006O0000078,Korastack - New Business,001A001902,New Business,Product-led (PQL),005A0001,2024-04-07,2024-10-09,Closed Lost,,28400.00,USD,1,0,Security / compliance review,Workato,ws_002037,,2025-01-21
006O0000079,Evolabs - New Business,001A002243,New Business,Product-led (PQL),005A0003,2024-04-07,2024-07-09,Closed Won,,220900.00,GBP,1,1,,Zapier,ws_010442,,2025-01-21
006O0000080,Halosys - New Business,001A006527,New Business,Inbound,005A0002,2024-04-07,2024-05-07,Closed Lost,,14600.00,EUR,1,0,Other,Workato,ws_022739,,2025-01-21
006O0000081,Koraware - New Business,001A002589,New Business,Product-led (PQL),005A0006,2024-04-08,2024-06-09,Closed Won,,108800.00,EUR,1,1,,,ws_017235,,2025-01-15
006O0000082,Bramwave - New Business,001A004973,New Business,Product-led (PQL),005A0007,2024-04-09,2024-05-24,Closed Lost,,55800.00,USD,1,0,,,ws_005867,,2025-01-19
006O0000083,Koraworks - New Business,001A008742,New Business,Product-led (PQL),005A0001,2024-04-09,2024-05-13,Closed Lost,,62100.00,EUR,1,0,Unresponsive,,ws_007493,,2025-01-16
006O0000084,Lumoflow - New Business,001A000318,New Business,Product-led (PQL),005A0005,2024-04-12,2024-07-06,Closed Lost,,10600.00,EUR,1,0,Timing,,ws_015327,,2025-01-20
006O0000085,Boreawave - New Business,001A007034,New Business,Inbound,005A0002,2024-04-12,2024-04-30,Closed Lost,,12500.00,EUR,1,0,Unresponsive,Make,ws_005120,,2025-01-16
006O0000086,Bramwave - New Business,001A006411,New Business,Product-led (PQL),005A0005,2024-04-15,2024-06-28,Closed Won,,24300.00,USD,1,1,,,ws_019356,,2025-01-21
006O0000087,Talalabs - New Business,001A002036,New Business,Product-led (PQL),005A0007,2024-04-15,2024-05-27,Closed Won,,53200.00,USD,1,1,,,ws_005017,,2025-01-23
006O0000088,Wendlabs - New Business,001A000467,New Business,Marketing (MQL),005A0004,2024-04-15,2024-08-12,Closed Lost,,7600.00,USD,1,0,No decision / status quo,Make,,,2025-01-20
006O0000089,Boreaworks - New Business,001A004825,New Business,Product-led (PQL),005A0006,2024-04-16,2024-07-11,Closed Won,,65700.00,EUR,1,1,,,ws_013988,,2025-01-18
006O0000090,Umbralabs - New Business,001A007568,New Business,Product-led (PQL),005A0001,2024-04-17,2024-08-16,Closed Won,,400600.00,USD,1,1,,Workato,ws_014792,,2025-01-17
006O0000091,Evomark - New Business,001A000611,New Business,Inbound,005A0002,2024-04-17,2024-06-27,Closed Lost,,37900.00,USD,1,0,Other,Zapier,ws_012403,,2025-01-21
006O0000092,Lumopoint - New Business,001A004166,New Business,Product-led (PQL),005A0001,2024-04-18,2024-07-08,Closed Lost,,67500.00,EUR,1,0,,Tray.io,ws_022511,,2025-01-15
006O0000093,Lyralogic - New Business,001A000901,New Business,Product-led (PQL),005A0004,2024-04-19,2024-06-24,Closed Won,,51000.00,GBP,1,1,,,ws_020648,,2025-01-18
006O0000094,Talaflow - New Business,001D000069,New Business,Outbound,005A0007,2024-04-23,2024-05-28,Closed Lost,,35900.00,USD,1,0,Timing,,,,2025-01-16
006O0000095,Junotech - New Business,001A005311,New Business,Marketing (MQL),005A0005,2024-04-25,2024-06-04,Closed Lost,,13600.00,GBP,1,0,Timing,,,,2025-01-21
006O0000096,Bramlabs - New Business,001A006081,New Business,Product-led (PQL),005A0001,2024-04-26,2024-07-07,Closed Lost,,33100.00,EUR,1,0,Competitor - Zapier,Zapier,ws_017216,,2025-01-24
006O0000097,Ivenmark - New Business,001A003230,New Business,Partner,005A0011,2024-04-26,2024-06-07,Closed Lost,,9500.00,EUR,1,0,Competitor - Zapier,,,,2025-01-17
006O0000098,Terndata - New Business,001A007939,New Business,Product-led (PQL),005A0002,2024-04-27,2024-09-18,Closed Lost,,,USD,1,0,Chose self-hosted Community edition,Zapier,ws_020587,,2025-01-18
006O0000099,Xenogrid - New Business,001A004619,New Business,Product-led (PQL),005A0006,2024-04-28,2024-05-15,Closed Lost,,94500.00,EUR,1,0,Chose self-hosted Community edition,,ws_006987,,2025-01-20
006O0000100,Verasys - New Business,001A005730,New Business,Inbound,005A0003,2024-04-28,2024-10-19,Closed Lost,,77600.00,GBP,1,0,,Zapier,ws_020641,,2025-01-16
006O0000101,Vexbridge - New Business,001A006864,New Business,Product-led (PQL),005A0006,2024-04-29,2024-08-04,Closed Won,,122400.00,EUR,1,1,,Tray.io,ws_002420,,2025-01-23
006O0000102,Vexlogic - New Business,001A000362,New Business,Product-led (PQL),005A0002,2024-04-29,2024-12-06,Closed Lost,,3400.00,EUR,1,0,Security / compliance review,Zapier,ws_012218,,2025-01-24
006O0000103,Koravik - New Business,001A001931,New Business,Product-led (PQL),005A0001,2024-04-29,2024-08-01,Closed Won,,13000.00,USD,1,1,,,ws_023778,,2025-01-22
006O0000104,Miratech - New Business,001A002565,New Business,Inbound,005A0006,2024-04-29,2024-06-07,Closed Lost,,20900.00,EUR,1,0,Unresponsive,,ws_022102,,2025-01-16
006O0000105,Yaravik - New Business,001A002533,New Business,Marketing (MQL),005A0001,2024-04-29,2025-01-21,Closed Lost,Omitted,89900.00,EUR,1,0,,,,,2025-01-22
006O0000106,Halosys - New Business,001A003627,New Business,Product-led (PQL),005A0003,2024-05-01,2024-06-30,Closed Won,,111500.00,USD,1,1,,,ws_004446,,2025-01-20
006O0000107,Cirafield - New Business,001A002060,New Business,Product-led (PQL),005A0006,2024-05-02,2024-07-06,Closed Lost,,60900.00,USD,1,0,Competitor - Zapier,,ws_005068,,2025-01-22
006O0000108,Oriostack - New Business,001A006413,New Business,Product-led (PQL),005A0002,2024-05-02,2024-06-18,Closed Lost,,0.00,USD,1,0,Competitor - Make,,ws_008842,,2025-01-19
006O0000109,Pirapath - New Business,001A007893,New Business,Product-led (PQL),005A0002,2024-05-03,2024-06-02,Closed Won,,16100.00,EUR,1,1,,,ws_005694,,2025-01-18
006O0000110,Lumoware - New Business,001A004116,New Business,Product-led (PQL),005A0005,2024-05-03,2024-06-23,Closed Lost,,21000.00,USD,1,0,Other,,ws_021500,,2025-01-23
006O0000111,Ciranet - New Business,001A000795,New Business,Partner,005A0011,2024-05-03,2024-08-05,Closed Lost,,9900.00,EUR,1,0,No decision / status quo,,,,2025-01-20
006O0000112,Taladata - New Business,001A007592,New Business,Inbound,005A0000,2024-05-04,2024-06-01,Closed Lost,,12000.00,USD,1,0,Timing,,ws_001312,,2025-01-22
006O0000113,Lumologic - New Business,001A001107,New Business,Inbound,005A0007,2024-05-04,2024-05-28,Closed Lost,,6400.00,EUR,1,0,Price / budget,Custom scripts,ws_001905,,2025-01-21
006O0000114,Miramark - New Business,001A007571,New Business,Product-led (PQL),005A0004,2024-05-05,2024-10-05,Closed Lost,,63400.00,USD,1,0,Champion left,Workato,ws_007794,,2025-01-18
006O0000115,Deltanet - New Business,001A003801,New Business,Product-led (PQL),005A0004,2024-05-05,2024-07-15,Closed Lost,,61500.00,GBP,1,0,Missing feature / integration,,ws_018309,,2025-01-23
006O0000116,Strasys - New Business,001A000689,New Business,Product-led (PQL),005A0006,2024-05-06,2024-08-22,Closed Lost,,46200.00,EUR,1,0,Competitor - Power Automate,Custom scripts,ws_018565,,2025-01-17
006O0000117,Kestlogic - New Business,001A007590,New Business,Product-led (PQL),005A0006,2024-05-07,2024-08-19,Closed Lost,,45300.00,EUR,1,0,Price / budget,,ws_016086,,2025-01-20
006O0000118,Altoware - New Business,001A007534,New Business,Partner,005A0011,2024-05-07,2024-06-17,Closed Lost,,19200.00,EUR,1,0,Price / budget,,,,2025-01-22
006O0000119,Boreastack - New Business,001A002061,New Business,Product-led (PQL),005A0003,2024-05-09,2024-11-11,Closed Lost,,70700.00,GBP,1,0,Security / compliance review,,ws_009137,,2025-01-19
006O0000120,Sellasys - New Business,001A001763,New Business,Product-led (PQL),005A0001,2024-05-10,2024-07-12,Closed Lost,,87900.00,EUR,1,0,Competitor - Zapier,,ws_006015,,2025-01-23
006O0000121,Boreaworks - New Business,001A005817,New Business,Product-led (PQL),005A0004,2024-05-10,2024-11-11,Closed Lost,,77300.00,GBP,1,0,Other,,ws_014704,,2025-01-22
006O0000122,Fjelgrid - New Business,001A008090,New Business,Product-led (PQL),005A0011,2024-05-10,2024-06-10,Closed Won,,14300.00,EUR,1,1,,Power Automate,ws_019313,,2025-01-22
006O0000123,Opalworks - New Business,001A008730,New Business,Product-led (PQL),005A0004,2024-05-11,2024-07-13,Closed Won,,0.00,GBP,1,1,,,ws_004959,,2025-01-23
006O0000124,Solvline - New Business,001A000093,New Business,Marketing (MQL),005A0006,2024-05-11,2024-12-03,Closed Lost,,185800.00,EUR,1,0,Price / budget,,,,2025-01-20
006O0000125,Ciraflow - New Business,001A007795,New Business,Product-led (PQL),005A0000,2024-05-13,2024-06-11,Closed Lost,,15700.00,USD,1,0,,Workato,ws_005501,,2025-01-16
006O0000126,Granworks - New Business,001A006671,New Business,Product-led (PQL),005A0011,2024-05-14,2024-07-14,Closed Lost,,60100.00,EUR,1,0,No decision / status quo,Workato,ws_020126,,2025-01-17
006O0000127,Wendbridge - New Business,001A001520,New Business,Product-led (PQL),005A0005,2024-05-14,2024-09-08,Closed Lost,,9900.00,EUR,1,0,Price / budget,,ws_012113,,2025-01-15
006O0000128,Piramark - New Business,001A003980,New Business,Marketing (MQL),005A0001,2024-05-15,2024-07-24,Closed Lost,,8700.00,EUR,1,0,Other,,,,2025-01-23
006O0000129,Ternline - New Business,001A007371,New Business,Product-led (PQL),005A0011,2024-05-16,2024-06-10,Closed Won,,30500.00,USD,1,1,,,ws_005645,,2025-01-21
006O0000130,Lumobridge - New Business,001A006680,New Business,Inbound,005A0001,2024-05-17,2024-07-03,Closed Lost,,40500.00,USD,1,0,Competitor - Power Automate,,ws_006445,,2025-01-17
006O0000131,Zephfield - New Business,001A002583,New Business,Product-led (PQL),005A0001,2024-05-18,2024-08-22,Closed Won,,36700.00,EUR,1,1,,,ws_007508,,2025-01-17
006O0000132,Oriogrid - New Business,001A000731,New Business,Product-led (PQL),005A0002,2024-05-18,2024-06-12,Closed Won,,15400.00,EUR,1,1,,,ws_010272,,2025-01-19
006O0000133,Astervik - New Business,001A007862,New Business,Marketing (MQL),005A0001,2024-05-18,2024-07-02,Closed Lost,,13000.00,EUR,1,0,Price / budget,,,,2025-01-16
006O0000134,Piracore - New Business,001A007116,New Business,Product-led (PQL),005A0006,2024-05-19,2024-07-18,Closed Won,,27600.00,EUR,1,1,,Zapier,ws_003584,,2025-01-18
006O0000135,Talabridge - New Business,001A004010,New Business,Product-led (PQL),005A0004,2024-05-19,2024-06-14,Closed Lost,,29200.00,GBP,1,0,,,ws_020012,,2025-01-17
006O0000136,Lyralogic - New Business,001A000812,New Business,Marketing (MQL),005A0002,2024-05-19,2024-06-18,Closed Lost,,48600.00,USD,1,0,Price / budget,Make,,,2025-01-19
006O0000137,Ivenflow - New Business,001A005737,New Business,Product-led (PQL),005A0004,2024-05-20,2024-06-25,Closed Won,,5400.00,USD,1,1,,,ws_020299,,2025-01-23
006O0000138,Umbrabridge - New Business,001A004512,New Business,Product-led (PQL),005A0003,2024-05-20,2024-07-02,Closed Lost,,120200.00,USD,1,0,No decision / status quo,,ws_012802,,2025-01-16
006O0000139,Yaradata - New Business,001A000771,New Business,Partner,005A0003,2024-05-20,2024-08-05,Closed Lost,,22600.00,USD,1,0,Competitor - Zapier,,,,2025-01-18
006O0000140,Koragrid - New Business,001A007857,New Business,Inbound,005A0004,2024-05-21,2024-06-30,Closed Lost,,27000.00,GBP,1,0,Price / budget,Workato,ws_007343,,2025-01-19
006O0000141,Runedata - New Business,001A006372,New Business,Inbound,005A0003,2024-05-21,2024-08-30,Closed Lost,,65700.00,USD,1,0,No decision / status quo,,ws_022811,,2025-01-17
006O0000142,Deltasys - New Business,001D000131,New Business,Marketing (MQL),005A0011,2024-05-21,2024-07-09,Closed Lost,,30900.00,EUR,1,0,Price / budget,,,,2025-01-21
006O0000143,Junofield - New Business,001A002727,New Business,Product-led (PQL),005A0002,2024-05-22,2024-06-24,Closed Won,,11900.00,EUR,1,1,,,ws_000406,,2025-01-15
006O0000144,Runenet - New Business,001A001252,New Business,Marketing (MQL),005A0002,2024-05-22,2024-07-10,Closed Lost,,4100.00,EUR,1,0,Competitor - Workato,Make,,,2025-01-16
006O0000145,Bramline - New Business,001A005255,New Business,Marketing (MQL),005A0004,2024-05-22,2024-12-30,Closed Lost,,24100.00,USD,1,0,Chose self-hosted Community edition,,,,2025-01-19
006O0000146,Koranet - New Business,001A000263,New Business,Inbound,005A0002,2024-05-23,2024-07-08,Closed Won,,11900.00,EUR,1,1,,Tray.io,ws_015509,,2025-01-21
