month,account_id,arr_eur,new_arr_eur,expansion_arr_eur,contraction_arr_eur,churned_arr_eur,usage_overage_revenue_eur,total_executions
2026-07-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,925
2026-08-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,1143
2026-09-01,001A000018,18860.00,0.00,0.00,0.00,0.00,0.00,677
2025-09-01,001A000021,26500.00,26500.00,0.00,0.00,0.00,0.00,678
2025-10-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,1391
2025-11-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,2110
2025-12-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,4449
2026-01-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,2688
2026-02-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,3589
2026-03-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,4472
2026-04-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,5701
2026-05-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,5583
2026-06-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,9822
2026-07-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,7533
2026-08-01,001A000021,26500.00,0.00,0.00,0.00,0.00,0.00,11930
2026-09-01,001A000021,28000.00,0.00,1500.00,0.00,0.00,0.00,14901
2026-06-01,001A000039,69276.00,69276.00,0.00,0.00,0.00,0.00,6762
2026-07-01,001A000039,69276.00,0.00,0.00,0.00,0.00,0.00,5870
2026-08-01,001A000039,69276.00,0.00,0.00,0.00,0.00,0.00,6532
2026-09-01,001A000039,69276.00,0.00,0.00,0.00,0.00,0.00,11226
2025-11-01,001A000049,14500.00,14500.00,0.00,0.00,0.00,0.00,8366
2025-12-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,13173
2026-01-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,9651
2026-02-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,8379
2026-03-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,9554
2026-04-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,14200
2026-05-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,18988
2026-06-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,20462
2026-07-01,001A000049,14500.00,0.00,0.00,0.00,0.00,0.00,28918
2026-08-01,001A000049,21200.00,0.00,6700.00,0.00,0.00,0.00,29576
2026-09-01,001A000049,21200.00,0.00,0.00,0.00,0.00,0.00,43562
2025-05-01,001A000055,40664.00,40664.00,0.00,0.00,0.00,0.00,6236
2025-06-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,1919
2025-07-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,2229
2025-08-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,1802
2025-09-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,5032
2025-10-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,4748
2025-11-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,12206
2025-12-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,10788
2026-01-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,14590
2026-02-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,27829
2026-03-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,21712
2026-04-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,18781
2026-05-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,20891
2026-06-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,19421
2026-07-01,001A000055,40664.00,0.00,0.00,0.00,0.00,0.00,28207
2026-08-01,001A000055,49588.00,0.00,8924.00,0.00,0.00,0.00,29871
2026-09-01,001A000055,49588.00,0.00,0.00,0.00,0.00,0.00,22433
2026-02-01,001A000059,20500.00,20500.00,0.00,0.00,0.00,0.00,8903
2026-03-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,10263
2026-04-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,17580
2026-05-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,14188
2026-06-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,13125
2026-07-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,18286
2026-08-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,15854
2026-09-01,001A000059,20500.00,0.00,0.00,0.00,0.00,0.00,14576
2025-06-01,001A000060,64492.00,64492.00,0.00,0.00,0.00,0.00,9571
2025-07-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,12986
2025-08-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,15290
2025-09-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,23570
2025-10-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,20505
2025-11-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,22246
2025-12-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,20704
2026-01-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,34696
2026-02-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,44429
2026-03-01,001A000060,64492.00,0.00,0.00,0.00,0.00,0.00,44494
2026-04-01,001A000060,82616.00,0.00,18124.00,0.00,0.00,0.00,40202
2026-05-01,001A000060,82616.00,0.00,0.00,0.00,0.00,0.00,60918
2026-06-01,001A000060,70816.00,0.00,0.00,-11800.00,0.00,0.00,82598
2026-07-01,001A000060,70816.00,0.00,0.00,0.00,0.00,0.00,58313
2026-08-01,001A000060,70816.00,0.00,0.00,0.00,0.00,0.00,54986
2026-09-01,001A000060,70816.00,0.00,0.00,0.00,0.00,0.00,108305
2025-12-01,001A000067,55200.00,55200.00,0.00,0.00,0.00,0.00,3906
2026-01-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,638
2026-02-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,1206
2026-03-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,943
2026-04-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,1420
2026-05-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,1438
2026-06-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,863
2026-07-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,699
2026-08-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,955
2026-09-01,001A000067,55200.00,0.00,0.00,0.00,0.00,0.00,1312
2026-06-01,001A000072,33948.00,33948.00,0.00,0.00,0.00,0.00,1003
2026-07-01,001A000072,33948.00,0.00,0.00,0.00,0.00,0.00,2018
2026-08-01,001A000072,33948.00,0.00,0.00,0.00,0.00,0.00,913
2026-09-01,001A000072,33948.00,0.00,0.00,0.00,0.00,0.00,2077
2025-04-01,001A000073,21528.00,21528.00,0.00,0.00,0.00,0.00,25783
2025-05-01,001A000073,21528.00,0.00,0.00,0.00,0.00,0.00,51654
2025-06-01,001A000073,21528.00,0.00,0.00,0.00,0.00,0.00,54817
2025-07-01,001A000073,21528.00,0.00,0.00,0.00,0.00,0.00,56308
2025-08-01,001A000073,21528.00,0.00,0.00,0.00,0.00,0.00,58977
2025-09-01,001A000073,24570.00,0.00,3042.00,0.00,0.00,0.00,85482
2025-10-01,001A000073,24570.00,0.00,0.00,0.00,0.00,0.00,49579
2025-11-01,001A000073,24570.00,0.00,0.00,0.00,0.00,184.69,169022
2025-12-01,001A000073,24570.00,0.00,0.00,0.00,0.00,0.00,102067
2026-01-01,001A000073,24570.00,0.00,0.00,0.00,0.00,203.10,173625
2026-02-01,001A000073,24570.00,0.00,0.00,0.00,0.00,329.62,205256
2026-03-01,001A000073,24570.00,0.00,0.00,0.00,0.00,850.00,335351
2026-04-01,001A000073,34632.00,0.00,10062.00,0.00,0.00,1125.95,454648
2026-05-01,001A000073,34632.00,0.00,0.00,0.00,0.00,767.59,365058
2026-06-01,001A000073,34632.00,0.00,0.00,0.00,0.00,1860.90,638385
2026-07-01,001A000073,34632.00,0.00,0.00,0.00,0.00,4377.32,1267491
2026-08-01,001A000073,34632.00,0.00,0.00,0.00,0.00,1483.18,543954
2026-09-01,001A000073,34632.00,0.00,0.00,0.00,0.00,1764.04,614169
2025-09-01,001A000074,116700.00,116700.00,0.00,0.00,0.00,0.00,19865
2025-10-01,001A000074,116700.00,0.00,0.00,0.00,0.00,0.00,23924
2025-11-01,001A000074,116700.00,0.00,0.00,0.00,0.00,0.00,34456
2025-12-01,001A000074,116700.00,0.00,0.00,0.00,0.00,0.00,31546
2026-01-01,001A000074,116700.00,0.00,0.00,0.00,0.00,0.00,20214
2026-02-01,001A000074,139600.00,0.00,22900.00,0.00,0.00,0.00,43268
2026-03-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,38624
2026-04-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,39788
2026-05-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,46814
2026-06-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,74834
2026-07-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,61833
2026-08-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,57286
2026-09-01,001A000074,139600.00,0.00,0.00,0.00,0.00,0.00,69803
2026-03-01,001A000078,5700.00,5700.00,0.00,0.00,0.00,0.00,6127
2026-04-01,001A000078,5700.00,0.00,0.00,0.00,0.00,0.00,6647
2026-05-01,001A000078,5700.00,0.00,0.00,0.00,0.00,0.00,8413
2026-06-01,001A000078,5700.00,0.00,0.00,0.00,0.00,0.00,12302
2026-07-01,001A000078,9300.00,0.00,3600.00,0.00,0.00,0.00,6768
2026-08-01,001A000078,9300.00,0.00,0.00,0.00,0.00,0.00,5477
2026-09-01,001A000078,9300.00,0.00,0.00,0.00,0.00,0.00,9013
2026-09-01,001A000090,22400.00,22400.00,0.00,0.00,0.00,0.00,20816
2025-06-01,001A000096,9300.00,9300.00,0.00,0.00,0.00,0.00,25716
2025-07-01,001A000096,9300.00,0.00,0.00,0.00,0.00,0.00,29527
2025-08-01,001A000096,9300.00,0.00,0.00,0.00,0.00,0.00,20769
2025-09-01,001A000096,9300.00,0.00,0.00,0.00,0.00,0.00,32325
2025-10-01,001A000096,9300.00,0.00,0.00,0.00,0.00,76.38,65596
2025-11-01,001A000096,9300.00,0.00,0.00,0.00,0.00,112.64,74659
2025-12-01,001A000096,9300.00,0.00,0.00,0.00,0.00,72.11,64528
2026-01-01,001A000096,9300.00,0.00,0.00,0.00,0.00,50.81,59202
2026-02-01,001A000096,9300.00,0.00,0.00,0.00,0.00,187.70,93424
2026-03-01,001A000096,9300.00,0.00,0.00,0.00,0.00,116.47,75617
2026-04-01,001A000096,9300.00,0.00,0.00,0.00,0.00,278.40,116099
2026-05-01,001A000096,9300.00,0.00,0.00,0.00,0.00,160.23,86557
2026-06-01,001A000096,10400.00,0.00,1100.00,0.00,0.00,702.42,227606
2026-07-01,001A000096,10400.00,0.00,0.00,0.00,0.00,466.09,168523
2026-08-01,001A000096,10400.00,0.00,0.00,0.00,0.00,834.41,260603
2026-09-01,001A000096,10400.00,0.00,0.00,0.00,0.00,1254.18,365545
2026-01-01,001A000119,22908.00,22908.00,0.00,0.00,0.00,0.00,1674
2026-02-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,1479
2026-03-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,975
2026-04-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,1252
2026-05-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,945
2026-06-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,1144
2026-07-01,001A000119,22908.00,0.00,0.00,0.00,0.00,0.00,1378
2026-08-01,001A000119,31004.00,0.00,8096.00,0.00,0.00,0.00,1128
2026-09-01,001A000119,31004.00,0.00,0.00,0.00,0.00,0.00,1392
2026-01-01,001A000126,14000.00,14000.00,0.00,0.00,0.00,0.00,15426
2026-02-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,17197
2026-03-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,14816
2026-04-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,3515
2026-05-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,3975
2026-06-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,5036
2026-07-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,3552
2026-08-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,5641
2026-09-01,001A000126,14000.00,0.00,0.00,0.00,0.00,0.00,4403
2026-03-01,001A000132,72772.00,72772.00,0.00,0.00,0.00,0.00,49010
2026-04-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,56032
2026-05-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,51605
2026-06-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,62964
2026-07-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,67590
2026-08-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,54416
2026-09-01,001A000132,72772.00,0.00,0.00,0.00,0.00,0.00,64021
2025-10-01,001A000135,17900.00,17900.00,0.00,0.00,0.00,0.00,3350
2025-11-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,4620
2025-12-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,8509
2026-01-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,5994
2026-02-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,7504
2026-03-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,14757
2026-04-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,12381
2026-05-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,6980
2026-06-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,9955
2026-07-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,7344
2026-08-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,8698
2026-09-01,001A000135,17900.00,0.00,0.00,0.00,0.00,0.00,12780
2026-04-01,001A000152,40600.00,40600.00,0.00,0.00,0.00,0.00,22573
2026-05-01,001A000152,40600.00,0.00,0.00,0.00,0.00,0.00,23141
2026-06-01,001A000152,40600.00,0.00,0.00,0.00,0.00,0.00,21343
2026-07-01,001A000152,40600.00,0.00,0.00,0.00,0.00,0.00,25317
2026-08-01,001A000152,40600.00,0.00,0.00,0.00,0.00,0.00,25495
2026-09-01,001A000152,40600.00,0.00,0.00,0.00,0.00,0.00,40307
2026-08-01,001A000153,15900.00,15900.00,0.00,0.00,0.00,0.00,19058
2026-09-01,001A000153,15900.00,0.00,0.00,0.00,0.00,0.00,16353
2025-01-01,001A000167,50140.00,50140.00,0.00,0.00,0.00,0.00,7497
2025-02-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,4513
2025-03-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,4170
2025-04-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,6573
2025-05-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,4050
2025-06-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,5873
2025-07-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,5305
2025-08-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,4032
2025-09-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,5400
2025-10-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,3829
2025-11-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,9793
2025-12-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,10238
2026-01-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,7410
2026-02-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,9106
2026-03-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,12492
2026-04-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,10551
2026-05-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,10418
2026-06-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,24834
2026-07-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,10105
2026-08-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,12579
2026-09-01,001A000167,50140.00,0.00,0.00,0.00,0.00,0.00,0
2026-03-01,001A000174,32900.00,32900.00,0.00,0.00,0.00,0.00,5999
2026-04-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,7328
2026-05-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,9912
2026-06-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,10702
2026-07-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,10485
2026-08-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,10823
2026-09-01,001A000174,32900.00,0.00,0.00,0.00,0.00,0.00,9849
2025-08-01,001A000195,15500.00,15500.00,0.00,0.00,0.00,0.00,7711
2025-09-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,18482
2025-10-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,13428
2025-11-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,11735
2025-12-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,24499
2026-01-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,12530
2026-02-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,9326
2026-03-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,15628
2026-04-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,12581
2026-05-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,16169
2026-06-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,8368
2026-07-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,11809
2026-08-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,8346
2026-09-01,001A000195,15500.00,0.00,0.00,0.00,0.00,0.00,14603
2026-01-01,001A000215,39560.00,39560.00,0.00,0.00,0.00,0.00,45843
2026-02-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,51811
2026-03-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,52034
2026-04-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,94466
2026-05-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,74195
2026-06-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,99181
2026-07-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,134400
2026-08-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,108659
2026-09-01,001A000215,39560.00,0.00,0.00,0.00,0.00,0.00,123199
2024-11-01,001A000232,187404.00,187404.00,0.00,0.00,0.00,0.00,35191
2024-12-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,43881
2025-01-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,59523
2025-02-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,51688
2025-03-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,60545
2025-04-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,85487
2025-05-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,121187
2025-06-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,86422
2025-07-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,101285
2025-08-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,123289
2025-09-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,123036
2025-10-01,001A000232,187404.00,0.00,0.00,0.00,0.00,0.00,162005
2025-11-01,001A000232,212704.00,0.00,25300.00,0.00,0.00,0.00,211131
2025-12-01,001A000232,212704.00,0.00,0.00,0.00,0.00,0.00,187614
2026-01-01,001A000232,212704.00,0.00,0.00,0.00,0.00,0.00,299070
2026-02-01,001A000232,212704.00,0.00,0.00,0.00,0.00,0.00,271777
2026-03-01,001A000232,287132.00,0.00,74428.00,0.00,0.00,0.00,320248
2026-04-01,001A000232,287132.00,0.00,0.00,0.00,0.00,0.00,453453
2026-05-01,001A000232,287132.00,0.00,0.00,0.00,0.00,0.00,415961
2026-06-01,001A000232,287132.00,0.00,0.00,0.00,0.00,0.00,567975
2026-07-01,001A000232,287132.00,0.00,0.00,0.00,0.00,0.00,604202
2026-08-01,001A000232,287132.00,0.00,0.00,0.00,0.00,0.00,791188
2026-09-01,001A000232,314364.00,0.00,27232.00,0.00,0.00,0.00,1268539
2025-09-01,001A000233,21528.00,21528.00,0.00,0.00,0.00,0.00,11278
2025-10-01,001A000233,21528.00,0.00,0.00,0.00,0.00,0.00,12358
2025-11-01,001A000233,21528.00,0.00,0.00,0.00,0.00,0.00,11596
2025-12-01,001A000233,21528.00,0.00,0.00,0.00,0.00,0.00,15252
2026-01-01,001A000233,21528.00,0.00,0.00,0.00,0.00,0.00,24130
2026-02-01,001A000233,21528.00,0.00,0.00,0.00,0.00,0.00,17520
2026-03-01,001A000233,26220.00,0.00,4692.00,0.00,0.00,0.00,18909
2026-04-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,22492
2026-05-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,20542
2026-06-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,11261
2026-07-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,10280
2026-08-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,13329
2026-09-01,001A000233,26220.00,0.00,0.00,0.00,0.00,0.00,19786
2026-03-01,001A000236,13900.00,13900.00,0.00,0.00,0.00,0.00,2176
2026-04-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,3066
2026-05-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,3363
2026-06-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,5659
2026-07-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,4106
2026-08-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,4831
2026-09-01,001A000236,13900.00,0.00,0.00,0.00,0.00,0.00,5424
2026-05-01,001A000237,10672.00,10672.00,0.00,0.00,0.00,0.00,2112
2026-06-01,001A000237,10672.00,0.00,0.00,0.00,0.00,0.00,2611
2026-07-01,001A000237,10672.00,0.00,0.00,0.00,0.00,0.00,2199
2026-08-01,001A000237,10672.00,0.00,0.00,0.00,0.00,0.00,2496
2026-09-01,001A000237,10672.00,0.00,0.00,0.00,0.00,0.00,3861
2026-04-01,001A000238,14100.00,14100.00,0.00,0.00,0.00,0.00,18578
2026-05-01,001A000238,14100.00,0.00,0.00,0.00,0.00,0.00,30437
2026-06-01,001A000238,14100.00,0.00,0.00,0.00,0.00,0.00,46393
2026-07-01,001A000238,14100.00,0.00,0.00,0.00,0.00,0.00,29345
2026-08-01,001A000238,14100.00,0.00,0.00,0.00,0.00,0.00,41999
2026-09-01,001A000238,14100.00,0.00,0.00,0.00,0.00,0.00,49544
2024-11-01,001A000251,28980.00,28980.00,0.00,0.00,0.00,0.00,1001
2024-12-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1120
2025-01-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1446
2025-02-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,2495
2025-03-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3330
2025-04-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3806
2025-05-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,2611
2025-06-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,2200
2025-07-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3596
2025-08-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3629
2025-09-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,2602
2025-10-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,2263
2025-11-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3940
2025-12-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,3785
2026-01-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,835
2026-02-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,814
2026-03-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,918
2026-04-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1440
2026-05-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1041
2026-06-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1488
2026-07-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1960
2026-08-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1021
2026-09-01,001A000251,28980.00,0.00,0.00,0.00,0.00,0.00,1192
2024-08-01,001A000263,11900.00,11900.00,0.00,0.00,0.00,0.00,2941
2024-09-01,001A000263,11900.00,0.00,0.00,0.00,0.00,0.00,4024
2024-10-01,001A000263,11900.00,0.00,0.00,0.00,0.00,0.00,3762
2024-11-01,001A000263,11900.00,0.00,0.00,0.00,0.00,0.00,3515
2024-12-01,001A000263,11900.00,0.00,0.00,0.00,0.00,0.00,4000
2025-01-01,001A000263,11900.00,0.00,0.00,0.00,0.00,0.00,4921
