rep_id,fiscal_quarter,quota_start_date,ramp_pct,quota_eur
005A0011,2025-Q1,2025-01-01,1.00,202000.00
005A0011,2025-Q2,2025-04-01,1.00,200000.00
005A0011,2025-Q3,2025-07-01,1.00,207000.00
005A0011,2025-Q4,2025-10-01,1.00,200000.00
005A0011,2026-Q1,2026-01-01,1.00,144000.00
005A0011,2026-Q2,2026-04-01,1.00,142000.00
005A0011,2026-Q3,2026-07-01,1.00,142000.00
005A0011,2026-Q4,2026-10-01,1.00,142000.00
005A0012,2024-Q2,2024-04-01,0.25,171000.00
005A0012,2024-Q3,2024-07-01,0.25,167000.00
005A0012,2024-Q4,2024-10-01,0.75,507000.00
005A0012,2025-Q1,2025-01-01,1.00,560000.00
005A0012,2025-Q2,2025-04-01,1.00,564000.00
005A0012,2025-Q3,2025-07-01,1.00,546000.00
005A0012,2025-Q4,2025-10-01,1.00,552000.00
005A0012,2026-Q1,2026-01-01,1.00,415000.00
005A0012,2026-Q2,2026-04-01,1.00,402000.00
005A0012,2026-Q3,2026-07-01,1.00,405000.00
005A0012,2026-Q4,2026-10-01,1.00,417000.00
005A0013,2025-Q1,2025-01-01,0.25,125000.00
005A0013,2025-Q2,2025-04-01,0.25,121000.00
005A0013,2025-Q3,2025-07-01,0.75,364000.00
005A0013,2025-Q4,2025-10-01,1.00,504000.00
005A0013,2026-Q1,2026-01-01,1.00,499000.00
005A0014,2025-Q3,2025-07-01,0.25,52000.00
005A0014,2025-Q4,2025-10-01,0.50,106000.00
005A0014,2026-Q1,2026-01-01,0.75,312000.00
005A0014,2026-Q2,2026-04-01,1.00,419000.00
005A0014,2026-Q3,2026-07-01,1.00,429000.00
005A0014,2026-Q4,2026-10-01,1.00,421000.00
005A0015,2025-Q2,2025-04-01,0.25,149000.00
005A0015,2025-Q3,2025-07-01,0.50,297000.00
005A0015,2025-Q4,2025-10-01,1.00,608000.00
005A0015,2026-Q1,2026-01-01,1.00,714000.00
005A0015,2026-Q2,2026-04-01,1.00,722000.00
005A0015,2026-Q3,2026-07-01,1.00,717000.00
005A0015,2026-Q4,2026-10-01,1.00,695000.00
005A0016,2025-Q4,2025-10-01,0.25,68000.00
005A0016,2026-Q1,2026-01-01,0.50,58000.00
005A0016,2026-Q2,2026-04-01,1.00,120000.00
005A0016,2026-Q3,2026-07-01,1.00,118000.00
005A0016,2026-Q4,2026-10-01,1.00,117000.00
005A0017,2025-Q4,2025-10-01,0.25,49000.00
005A0017,2026-Q1,2026-01-01,0.50,277000.00
005A0017,2026-Q2,2026-04-01,0.75,423000.00
005A0017,2026-Q3,2026-07-01,1.00,553000.00
005A0017,2026-Q4,2026-10-01,1.00,554000.00
005A0018,2026-Q1,2026-01-01,0.25,190000.00
005A0018,2026-Q2,2026-04-01,0.50,367000.00
005A0018,2026-Q3,2026-07-01,0.75,562000.00
005A0018,2026-Q4,2026-10-01,1.00,750000.00
005A0019,2024-Q4,2024-10-01,0.25,105000.00
005A0019,2025-Q1,2025-01-01,0.25,100000.00
005A0019,2025-Q2,2025-04-01,0.75,292000.00
005A0019,2025-Q3,2025-07-01,1.00,401000.00
005A0019,2025-Q4,2025-10-01,1.00,387000.00
005A0019,2026-Q1,2026-01-01,1.00,430000.00
005A0020,2025-Q3,2025-07-01,0.25,13000.00
005A0020,2025-Q4,2025-10-01,0.50,26000.00
005A0020,2026-Q1,2026-01-01,0.75,175000.00
005A0020,2026-Q2,2026-04-01,1.00,231000.00
005A0020,2026-Q3,2026-07-01,1.00,232000.00
005A0020,2026-Q4,2026-10-01,1.00,228000.00
005A0021,2025-Q1,2025-01-01,0.25,102000.00
005A0021,2025-Q2,2025-04-01,0.25,103000.00
005A0021,2025-Q3,2025-07-01,0.75,318000.00
005A0021,2025-Q4,2025-10-01,1.00,426000.00
005A0021,2026-Q1,2026-01-01,1.00,304000.00
005A0022,2026-Q2,2026-04-01,0.25,117000.00
005A0022,2026-Q3,2026-07-01,0.50,226000.00
005A0022,2026-Q4,2026-10-01,1.00,452000.00
005A0023,2026-Q1,2026-01-01,0.25,399000.00
005A0023,2026-Q2,2026-04-01,0.50,810000.00
005A0023,2026-Q3,2026-07-01,1.00,1655000.00
005A0023,2026-Q4,2026-10-01,1.00,1595000.00
005A0024,2024-Q3,2024-07-01,0.25,9000.00
005A0024,2024-Q4,2024-10-01,0.50,18000.00
005A0024,2025-Q1,2025-01-01,1.00,263000.00
005A0024,2025-Q2,2025-04-01,1.00,261000.00
005A0024,2025-Q3,2025-07-01,1.00,259000.00
005A0024,2025-Q4,2025-10-01,1.00,255000.00
005A0024,2026-Q1,2026-01-01,1.00,261000.00
005A0024,2026-Q2,2026-04-01,1.00,250000.00
005A0024,2026-Q3,2026-07-01,1.00,256000.00
005A0024,2026-Q4,2026-10-01,1.00,258000.00
