month,workspace_id,plan,executions,active_workflows,active_users,ai_node_executions,distinct_integrations_used,failed_execution_rate,self_serve_mrr_eur
2024-01-01,ws_003972,Starter,242,8,2,13,3,0.0859,24.00
2024-01-01,ws_003980,Community (free),192,7,1,19,1,0.1187,0.00
2024-01-01,ws_003986,Starter,916,15,2,96,5,0.0543,24.00
2024-01-01,ws_004129,Community (free),159,6,3,16,1,0.0707,0.00
2024-01-01,ws_004248,Starter,911,16,3,84,3,0.0590,24.00
2024-01-01,ws_004353,Starter,458,12,1,50,1,0.0824,24.00
2024-01-01,ws_004394,Starter,85,6,2,6,1,0.0431,24.00
2024-01-01,ws_004406,Starter,445,13,2,31,5,0.0109,24.00
2024-01-01,ws_004419,Starter,2152,23,6,245,5,0.0414,24.00
2024-01-01,ws_004555,Starter,22,4,1,1,2,0.0604,24.00
2024-01-01,ws_004589,Starter,128,7,2,4,2,0.1226,24.00
2024-01-01,ws_004614,Starter,519,13,6,36,3,0.0200,24.00
2024-01-01,ws_004635,Starter,125,10,2,18,1,0.0338,24.00
2024-01-01,ws_004650,Community (free),174,9,3,16,3,0.0977,0.00
2024-01-01,ws_004668,Starter,571,13,6,99,4,0.0423,24.00
2024-01-01,ws_004721,Starter,218,6,2,19,3,0.0481,24.00
2024-01-01,ws_004850,Community (free),21,2,5,3,3,0.0076,0.00
2024-01-01,ws_004982,Starter,411,12,3,23,2,0.1235,24.00
2024-01-01,ws_005041,Community (free),117,7,1,4,2,0.0876,0.00
2024-01-01,ws_005060,Community (free),,,,,,,0.00
2024-01-01,ws_005189,Starter,178,10,1,28,3,0.0514,24.00
2024-01-01,ws_005243,Starter,173,8,5,1,3,0.0731,24.00
2024-01-01,ws_005272,Community (free),3492,27,6,410,8,0.0477,0.00
2024-01-01,ws_005349,Starter,64,3,2,8,1,0.0575,24.00
2024-01-01,ws_005360,Community (free),,,,,,,0.00
2024-01-01,ws_005516,Starter,158,8,3,15,3,0.1520,24.00
2024-01-01,ws_005564,Starter,147,9,2,0,2,0.0239,24.00
2024-01-01,ws_005572,Community (free),99,6,1,9,1,0.0024,0.00
2024-01-01,ws_005694,Community (free),2418,27,3,463,4,0.1234,0.00
2024-01-01,ws_005722,Starter,4367,30,1,594,4,0.0207,24.00
2024-01-01,ws_005755,Starter,568,16,2,75,4,0.0251,24.00
2024-01-01,ws_005759,Community (free),285,7,1,0,3,0.1656,0.00
2024-01-01,ws_005814,Starter,190,11,1,16,3,0.0167,24.00
2024-01-01,ws_005884,Community (free),40,7,1,4,1,0.0111,0.00
2024-01-01,ws_005927,Starter,79,6,3,8,2,0.0952,24.00
2024-01-01,ws_006055,Starter,124,5,4,3,2,0.0328,24.00
2024-01-01,ws_006214,Business (self-hosted),110,5,5,7,1,0.0531,0.00
2024-01-01,ws_006435,Community (free),128,6,1,16,3,0.0213,0.00
2024-01-01,ws_006436,Starter,232,8,3,18,2,0.1076,24.00
2024-01-01,ws_006461,Starter,493,12,2,39,2,0.0081,24.00
2024-01-01,ws_006470,Starter,81,5,5,6,2,0.0016,24.00
2024-01-01,ws_006533,Community (free),18,5,1,1,3,0.1720,0.00
2024-01-01,ws_006578,Starter,648,13,2,75,5,0.1125,24.00
2024-01-01,ws_006611,Community (free),13,4,4,0,2,0.0344,0.00
2024-01-01,ws_006652,Community (free),,,,,,,0.00
2024-01-01,ws_006730,Community (free),523,16,3,69,4,0.0401,0.00
2024-01-01,ws_006784,Community (free),317,10,3,18,2,0.1017,0.00
2024-01-01,ws_006801,Starter,164,8,2,18,3,0.0193,24.00
2024-01-01,ws_006863,Starter,1149,19,3,76,4,0.0411,24.00
2024-01-01,ws_006916,Community (free),,,,,,,0.00
2024-01-01,ws_007491,Community (free),120,7,1,20,1,0.0658,0.00
2024-01-01,ws_007662,Starter,1156,17,2,113,5,0.0475,24.00
2024-01-01,ws_007719,Starter,49,3,2,6,2,0.1534,24.00
2024-01-01,ws_007902,Community (free),308,8,3,9,1,0.0084,0.00
2024-01-01,ws_007977,Starter,111,8,1,17,4,0.0333,24.00
2024-01-01,ws_008009,Community (free),,,,,,,0.00
2024-01-01,ws_008114,Starter,981,17,3,39,4,0.1609,24.00
2024-01-01,ws_008187,Starter,161,8,2,16,3,0.0552,24.00
2024-01-01,ws_008310,Starter,138,7,2,16,3,0.0730,24.00
2024-01-01,ws_008342,Starter,65,6,1,5,1,0.1156,24.00
2024-01-01,ws_008351,Starter,168,8,1,8,2,0.0028,24.00
2024-01-01,ws_008512,Community (free),159,8,3,11,4,0.0337,0.00
2024-01-01,ws_008532,Community (free),162,9,4,17,3,0.0426,0.00
2024-01-01,ws_008619,Starter,1657,20,2,101,5,0.0260,24.00
2024-01-01,ws_008741,Starter,619,15,2,29,2,0.0588,24.00
2024-01-01,ws_008842,Starter,489,13,3,74,4,0.0239,24.00
2024-01-01,ws_008849,Starter,1157,18,3,101,5,0.0371,24.00
2024-01-01,ws_008938,Starter,950,15,3,0,5,0.0036,24.00
2024-01-01,ws_008992,Starter,98,8,2,2,3,0.0401,24.00
2024-01-01,ws_009082,Community (free),215,12,2,21,2,0.0196,0.00
2024-01-01,ws_009118,Starter,15,2,4,1,2,0.0479,24.00
2024-01-01,ws_009140,Community (free),,,,,,,0.00
2024-01-01,ws_009204,Community (free),101,8,1,7,4,0.0852,0.00
2024-01-01,ws_009254,Community (free),,,,,,,0.00
2024-01-01,ws_009259,Starter,133,7,3,10,3,0.0555,24.00
2024-01-01,ws_009303,Community (free),,,,,,,0.00
2024-01-01,ws_009412,Community (free),595,12,3,55,4,0.1088,0.00
2024-01-01,ws_009449,Starter,90,7,2,9,3,0.0238,24.00
2024-01-01,ws_009647,Starter,1395,20,1,158,4,0.0382,24.00
2024-01-01,ws_009679,Business (self-hosted),528,13,3,58,3,0.0885,0.00
2024-01-01,ws_009714,Community (free),282,10,1,16,3,0.0477,0.00
2024-01-01,ws_009808,Business (self-hosted),38,4,2,2,2,0.0337,0.00
2024-01-01,ws_009824,Starter,75,4,3,2,1,0.1136,24.00
2024-01-01,ws_009954,Community (free),180,11,4,8,3,0.1458,0.00
2024-01-01,ws_010007,Community (free),493,14,2,12,4,0.0754,0.00
2024-01-01,ws_010057,Starter,112,6,3,2,2,0.0804,24.00
2024-01-01,ws_010283,Community (free),,,,,,,0.00
2024-01-01,ws_010298,Starter,130,9,2,8,3,0.0215,24.00
2024-01-01,ws_010344,Starter,1038,18,2,62,4,0.0537,24.00
2024-01-01,ws_010503,Starter,116,10,1,11,1,0.1091,24.00
2024-01-01,ws_010575,Starter,301,9,3,27,3,0.0496,24.00
2024-01-01,ws_010655,Starter,648,13,4,101,3,0.0670,24.00
2024-01-01,ws_010661,Starter,1115,19,2,73,5,0.0049,24.00
2024-01-01,ws_010668,Starter,173,9,1,22,3,0.0289,24.00
2024-01-01,ws_010723,Business (self-hosted),96,8,1,12,3,0.0584,0.00
2024-01-01,ws_010729,Starter,38,4,1,4,1,0.0340,24.00
2024-01-01,ws_010730,Starter,86,6,1,6,2,0.0454,24.00
2024-01-01,ws_010771,Starter,72,6,5,9,2,0.0341,24.00
2024-01-01,ws_010829,Starter,66,5,2,4,1,0.0641,24.00
2024-01-01,ws_010876,Community (free),499,11,1,40,3,0.1219,0.00
2024-01-01,ws_010909,Starter,274,10,6,30,2,0.0896,24.00
2024-01-01,ws_011162,Community (free),56,5,4,2,1,0.1166,0.00
2024-01-01,ws_011182,Business (self-hosted),83,9,3,15,3,0.0527,0.00
2024-01-01,ws_011227,Community (free),627,15,2,57,5,0.0541,0.00
2024-01-01,ws_011452,Starter,412,13,2,26,2,0.0670,24.00
2024-01-01,ws_011473,Community (free),55,3,1,5,2,0.0417,0.00
2024-01-01,ws_011497,Pro,5749,33,4,391,5,0.0143,60.00
2024-01-01,ws_011616,Starter,248,8,1,22,3,0.0128,24.00
2024-01-01,ws_011769,Starter,21,2,1,0,1,0.0480,24.00
2024-01-01,ws_011793,Starter,133,6,4,12,1,0.0115,24.00
2024-01-01,ws_011859,Starter,102,7,1,15,2,0.0508,24.00
2024-01-01,ws_012042,Starter,123,7,1,5,1,0.0277,24.00
2024-01-01,ws_012113,Starter,106,6,4,11,3,0.1444,24.00
2024-01-01,ws_012115,Starter,80,5,3,5,2,0.0777,24.00
2024-01-01,ws_012142,Starter,1426,19,3,241,5,0.0395,24.00
2024-01-01,ws_012325,Starter,404,10,1,0,4,0.0444,24.00
2024-01-01,ws_012403,Starter,94,6,5,9,2,0.0483,24.00
2024-01-01,ws_012456,Community (free),,,,,,,0.00
2024-01-01,ws_012503,Starter,218,7,3,0,1,0.1432,24.00
2024-01-01,ws_012542,Starter,146,8,3,3,2,0.0452,24.00
2024-01-01,ws_012577,Community (free),44,3,1,4,2,0.0024,0.00
2024-01-01,ws_012687,Starter,215,7,2,17,1,0.0987,24.00
2024-01-01,ws_013096,Starter,678,14,3,80,4,0.0036,24.00
2024-01-01,ws_013149,Starter,58,3,5,0,3,0.0626,24.00
2024-01-01,ws_013250,Community (free),,,,,,,0.00
2024-01-01,ws_013445,Pro,3040,28,4,545,6,0.0418,60.00
2024-01-01,ws_013489,Starter,652,14,4,81,4,0.0433,24.00
2024-01-01,ws_013597,Starter,1114,20,2,77,3,0.0479,24.00
2024-01-01,ws_013646,Starter,176,6,1,0,3,0.0633,24.00
2024-01-01,ws_013701,Starter,36,5,2,1,2,0.0861,24.00
2024-01-01,ws_013745,Starter,389,12,6,36,1,0.0460,24.00
2024-01-01,ws_013750,Community (free),455,10,2,24,2,0.0455,0.00
2024-01-01,ws_013819,Community (free),,,,,,,0.00
2024-01-01,ws_013849,Starter,138,6,2,12,2,0.0373,24.00
2024-01-01,ws_014113,Starter,72,6,4,4,1,0.0412,24.00
2024-01-01,ws_014125,Starter,221,8,1,22,1,0.0195,24.00
2024-01-01,ws_014174,Starter,340,6,2,50,2,0.0092,24.00
2024-01-01,ws_014187,Starter,132,8,6,9,2,0.0418,24.00
2024-01-01,ws_014339,Community (free),2458,26,1,219,5,0.0035,0.00
2024-01-01,ws_014344,Starter,48,5,5,6,1,0.0228,24.00
2024-01-01,ws_014469,Community (free),170,4,3,8,2,0.0185,0.00
2024-01-01,ws_014481,Community (free),43,4,2,3,2,0.0059,0.00
2024-01-01,ws_014553,Business (self-hosted),167,9,3,11,3,0.0557,0.00
2024-01-01,ws_014575,Starter,259,7,2,30,3,0.0277,24.00
2024-01-01,ws_014706,Community (free),28,5,3,2,2,0.0322,0.00
2024-01-01,ws_014871,Pro,3369,27,2,400,4,0.1077,60.00
2024-01-01,ws_014916,Starter,175,8,2,11,2,0.0661,24.00
2024-01-01,ws_014948,Business (self-hosted),309,11,1,25,4,0.0208,0.00
2024-01-01,ws_015509,Community (free),174,6,1,23,3,0.0180,0.00
2024-01-01,ws_015572,Community (free),,,,,,,0.00
2024-01-01,ws_015622,Starter,30,3,4,0,3,0.0372,24.00
2024-01-01,ws_015666,Community (free),17,4,2,1,2,0.0356,0.00
2024-01-01,ws_015743,Starter,39,5,2,4,1,0.0732,24.00
2024-01-01,ws_015790,Business (self-hosted),753,14,2,10,4,0.0834,0.00
2024-01-01,ws_015972,Starter,380,10,3,4,4,0.0381,24.00
2024-01-01,ws_016078,Community (free),,,,,,,0.00
2024-01-01,ws_016341,Community (free),,,,,,,0.00
2024-01-01,ws_016404,Starter,31,5,3,2,1,0.0127,24.00
2024-01-01,ws_016580,Community (free),92,6,2,6,1,0.0995,0.00
2024-01-01,ws_016645,Starter,103,7,3,7,1,0.0345,24.00
2024-01-01,ws_016809,Starter,699,14,3,42,3,0.0501,24.00
2024-01-01,ws_016913,Starter,335,12,3,14,3,0.0795,24.00
2024-01-01,ws_016923,Starter,831,17,4,35,4,0.0716,24.00
2024-01-01,ws_017033,Starter,207,11,5,15,3,0.0270,24.00
2024-01-01,ws_017034,Starter,14,1,3,1,2,0.0382,24.00
2024-01-01,ws_017116,Starter,421,11,1,58,3,0.0931,24.00
2024-01-01,ws_017135,Business (self-hosted),20,3,2,1,1,0.0391,0.00
2024-01-01,ws_017203,Starter,483,12,4,69,3,0.0356,24.00
2024-01-01,ws_017279,Starter,83,7,3,3,2,0.0783,24.00
2024-01-01,ws_017299,Starter,248,10,1,63,2,0.0694,24.00
2024-01-01,ws_017500,Starter,239,8,1,0,3,0.0756,24.00
2024-01-01,ws_017600,Starter,189,6,3,8,1,0.0657,24.00
2024-01-01,ws_017614,Community (free),124,4,4,8,3,0.0229,0.00
2024-01-01,ws_017899,Starter,286,9,1,53,1,0.0567,24.00
2024-01-01,ws_017935,Starter,273,11,6,24,1,0.0411,24.00
2024-01-01,ws_018180,Starter,443,13,3,48,5,0.0648,24.00
2024-01-01,ws_018278,Starter,670,12,2,36,4,0.0275,24.00
2024-01-01,ws_018287,Starter,73,5,1,0,1,0.0738,24.00
2024-01-01,ws_018352,Community (free),118,8,2,10,3,0.0295,0.00
2024-01-01,ws_018412,Community (free),1887,22,5,144,7,0.0243,0.00
2024-01-01,ws_018524,Starter,144,5,2,11,3,0.0444,24.00
2024-01-01,ws_018596,Starter,2086,21,5,192,5,0.0741,24.00
2024-01-01,ws_018666,Starter,189,10,4,28,3,0.0257,24.00
2024-01-01,ws_018727,Starter,966,15,2,52,3,0.0403,24.00
2024-01-01,ws_018757,Community (free),150,7,1,18,3,0.0884,0.00
2024-01-01,ws_018932,Starter,544,12,2,37,3,0.0291,24.00
2024-01-01,ws_019109,Community (free),109,8,1,14,2,0.0336,0.00
2024-01-01,ws_019111,Starter,342,11,3,52,4,0.0044,24.00
2024-01-01,ws_019255,Starter,988,17,2,49,4,0.0627,24.00
2024-01-01,ws_019322,Starter,608,13,2,54,5,0.0031,24.00
2024-01-01,ws_019450,Starter,138,6,5,12,1,0.1041,24.00
2024-01-01,ws_019602,Community (free),,,,,,,0.00
2024-01-01,ws_019627,Community (free),532,12,1,15,1,0.0316,0.00
2024-01-01,ws_019658,Starter,181,8,2,12,4,0.0237,24.00
2024-01-01,ws_019871,Starter,153,8,2,4,1,0.1470,24.00
2024-01-01,ws_019919,Community (free),678,13,2,92,3,0.0159,0.00
2024-01-01,ws_019924,Starter,199,7,2,12,2,0.0170,24.00
2024-01-01,ws_020157,Starter,604,14,2,32,4,0.0602,24.00
2024-01-01,ws_020597,Community (free),,,,,,,0.00
2024-01-01,ws_020600,Community (free),3239,26,5,750,7,0.0067,0.00
2024-01-01,ws_020641,Community (free),425,10,2,21,1,0.0915,0.00
2024-01-01,ws_020702,Starter,141,8,1,15,2,0.0501,24.00
2024-01-01,ws_021052,Business (self-hosted),523,15,4,72,3,0.0323,0.00
2024-01-01,ws_021062,Starter,93,5,4,5,2,0.0096,24.00
2024-01-01,ws_021118,Community (free),,,,,,,0.00
2024-01-01,ws_021266,Starter,36,2,1,3,1,0.0040,24.00
2024-01-01,ws_021390,Community (free),185,7,2,22,3,0.0182,0.00
2024-01-01,ws_021704,Starter,148,7,1,15,2,0.0510,24.00
2024-01-01,ws_021706,Starter,431,10,1,9,2,0.0239,24.00
2024-01-01,ws_021729,Starter,634,15,2,94,3,0.0592,24.00
2024-01-01,ws_021806,Starter,98,9,3,8,1,0.1254,24.00
2024-01-01,ws_021951,Starter,503,13,6,35,3,0.0308,24.00
2024-01-01,ws_022158,Starter,16,2,2,0,1,0.0438,24.00
2024-01-01,ws_022511,Business (self-hosted),130,7,3,12,3,0.0069,0.00
2024-01-01,ws_022520,Starter,175,11,3,24,3,0.1233,24.00
2024-01-01,ws_022577,Starter,8,1,5,0,2,0.0706,24.00
2024-01-01,ws_022645,Business (self-hosted),312,10,3,37,3,0.1098,0.00
2024-01-01,ws_022663,Community (free),,,,,,,0.00
2024-01-01,ws_022679,Community (free),,,,,,,0.00
2024-01-01,ws_022811,Starter,271,12,2,28,1,0.0274,24.00
2024-01-01,ws_022896,Starter,2016,23,1,533,4,0.0542,24.00
2024-01-01,ws_023001,Community (free),106,5,2,8,1,0.0662,0.00
2024-01-01,ws_023174,Starter,504,8,1,28,3,0.1119,24.00
2024-01-01,ws_023248,Starter,267,8,1,18,1,0.0162,24.00
2024-01-01,ws_023288,Starter,134,7,3,12,4,0.0428,24.00
2024-01-01,ws_023359,Community (free),,,,,,,0.00
2024-01-01,ws_023464,Starter,402,11,1,41,4,0.1596,24.00
2024-01-01,ws_023471,Community (free),,,,,,,0.00
2024-01-01,ws_023514,Starter,130,3,3,7,2,0.0721,24.00
2024-01-01,ws_023558,Community (free),,,,,,,0.00
2024-01-01,ws_023656,Community (free),114,4,4,10,3,0.0611,0.00
2024-01-01,ws_023663,Community (free),22,6,2,2,1,0.0577,0.00
2024-01-01,ws_023723,Community (free),7,1,1,0,1,0.0899,0.00
2024-01-01,ws_023775,Starter,356,10,2,28,2,0.0817,24.00
2024-01-01,ws_023809,Pro,6414,35,3,1118,5,0.0099,60.00
2024-01-01,ws_023835,Starter,48,5,2,3,1,0.0639,24.00
2024-01-01,ws_023942,Starter,96,8,3,10,2,0.0688,24.00
2024-01-01,ws_023967,Starter,20,2,5,2,3,0.0717,24.00
2024-02-01,ws_000013,Starter,169,11,2,2,2,0.0758,24.00
2024-02-01,ws_000062,Starter,464,12,6,17,4,0.0399,24.00
2024-02-01,ws_000080,Pro,2791,26,1,173,4,0.0356,60.00
2024-02-01,ws_000117,Community (free),,,,,,,0.00
2024-02-01,ws_000142,Community (free),1695,19,8,138,3,0.0052,0.00
2024-02-01,ws_000261,Starter,613,13,2,37,3,0.0365,24.00
2024-02-01,ws_000268,Starter,85,6,1,7,1,0.1545,24.00
2024-02-01,ws_000272,Pro,2838,26,6,478,5,0.0472,60.00
2024-02-01,ws_000277,Starter,153,6,1,7,2,0.0387,24.00
2024-02-01,ws_000492,Starter,2358,26,4,235,5,0.0366,24.00
2024-02-01,ws_000544,Starter,683,15,2,90,5,0.0301,24.00
2024-02-01,ws_000602,Community (free),,,,,,,0.00
2024-02-01,ws_000671,Starter,631,13,3,18,3,0.0701,24.00
2024-02-01,ws_000682,Starter,888,16,2,59,4,0.0421,24.00
2024-02-01,ws_000814,Community (free),492,12,4,87,4,0.0339,0.00
2024-02-01,ws_000821,Starter,140,7,2,19,2,0.0504,24.00
2024-02-01,ws_000838,Starter,859,14,3,0,4,0.0824,24.00
2024-02-01,ws_000847,Starter,233,11,4,20,3,0.0308,24.00
2024-02-01,ws_000952,Starter,261,8,5,18,3,0.0880,24.00
2024-02-01,ws_000962,Starter,233,7,3,20,2,0.0581,24.00
2024-02-01,ws_000970,Starter,34,4,3,1,1,0.0729,24.00
2024-02-01,ws_000989,Starter,114,8,4,11,3,0.0244,24.00
2024-02-01,ws_001061,Starter,170,8,3,26,3,0.0969,24.00
2024-02-01,ws_001087,Starter,610,13,5,58,2,0.0282,24.00
2024-02-01,ws_001193,Starter,274,11,2,16,3,0.0174,24.00
2024-02-01,ws_001264,Starter,249,9,1,34,3,0.0160,24.00
2024-02-01,ws_001337,Starter,73,6,2,5,2,0.1704,24.00
2024-02-01,ws_001359,Starter,177,6,4,23,4,0.0479,24.00
2024-02-01,ws_001380,Starter,456,13,5,0,3,0.0276,24.00
2024-02-01,ws_001433,Starter,2007,22,1,217,5,0.0620,24.00
2024-02-01,ws_001474,Starter,314,10,1,22,1,0.0300,24.00
2024-02-01,ws_001497,Community (free),111,7,4,8,1,0.0155,0.00
2024-02-01,ws_001547,Starter,324,11,1,17,3,0.0250,24.00
2024-02-01,ws_001553,Starter,145,5,1,30,2,0.0966,24.00
2024-02-01,ws_001579,Community (free),,,,,,,0.00
2024-02-01,ws_001584,Community (free),,,,,,,0.00
2024-02-01,ws_001713,Community (free),182,11,3,0,3,0.0445,0.00
2024-02-01,ws_001732,Starter,34,5,2,2,1,0.1470,24.00
2024-02-01,ws_001739,Starter,1840,23,4,163,6,0.0255,24.00
2024-02-01,ws_001779,Starter,145,8,2,16,3,0.0240,24.00
2024-02-01,ws_001796,Community (free),182,10,2,35,1,0.0056,0.00
2024-02-01,ws_001811,Starter,118,5,2,14,1,0.0562,24.00
2024-02-01,ws_001847,Starter,146,10,1,4,1,0.0187,24.00
2024-02-01,ws_001938,Community (free),738,13,1,63,3,0.0310,0.00
2024-02-01,ws_001963,Starter,428,14,3,12,2,0.0372,24.00
2024-02-01,ws_002062,Community (free),30,3,4,2,3,0.0835,0.00
2024-02-01,ws_002097,Starter,259,12,4,42,3,0.0069,24.00
2024-02-01,ws_002110,Community (free),1459,19,2,100,4,0.0616,0.00
2024-02-01,ws_002160,Community (free),,,,,,,0.00
2024-02-01,ws_002161,Starter,514,13,2,72,3,0.0630,24.00
2024-02-01,ws_002189,Starter,2892,23,7,369,5,0.0479,24.00
2024-02-01,ws_002190,Starter,605,13,1,81,3,0.0160,24.00
2024-02-01,ws_002267,Starter,368,10,3,44,2,0.0630,24.00
2024-02-01,ws_002271,Starter,1021,16,1,59,5,0.0422,24.00
2024-02-01,ws_002331,Community (free),260,9,4,23,4,0.0170,0.00
2024-02-01,ws_002354,Starter,1155,20,3,135,2,0.0179,24.00
2024-02-01,ws_002414,Community (free),1038,19,4,77,3,0.0149,0.00
2024-02-01,ws_002566,Business (self-hosted),202,7,1,24,3,0.0597,0.00
2024-02-01,ws_002660,Starter,485,9,4,30,4,0.1091,24.00
2024-02-01,ws_002740,Community (free),972,17,1,124,4,0.0505,0.00
2024-02-01,ws_002805,Starter,216,9,1,24,4,0.0547,24.00
2024-02-01,ws_002840,Starter,68,4,3,1,1,0.0057,24.00
2024-02-01,ws_002851,Starter,180,7,2,28,1,0.0782,24.00
2024-02-01,ws_002853,Starter,224,10,4,39,4,0.0589,24.00
2024-02-01,ws_002962,Starter,419,12,2,41,3,0.0677,24.00
2024-02-01,ws_002994,Community (free),2406,24,3,137,4,0.0028,0.00
2024-02-01,ws_002999,Business (self-hosted),12,1,3,1,1,0.0514,0.00
2024-02-01,ws_003003,Community (free),29,1,4,5,3,0.0437,0.00
2024-02-01,ws_003086,Starter,2090,21,4,338,5,0.0182,24.00
2024-02-01,ws_003166,Business (self-hosted),2388,23,1,281,4,0.0309,0.00
2024-02-01,ws_003169,Community (free),198,8,2,11,1,0.0818,0.00
2024-02-01,ws_003208,Community (free),56,6,2,4,1,0.0196,0.00
2024-02-01,ws_003295,Starter,116,7,5,16,2,0.0224,24.00
2024-02-01,ws_003320,Starter,212,8,3,21,4,0.0247,24.00
2024-02-01,ws_003338,Starter,1238,18,5,105,3,0.0289,24.00
2024-02-01,ws_003458,Community (free),130,4,1,0,1,0.0541,0.00
2024-02-01,ws_003472,Starter,315,11,1,19,1,0.0511,24.00
2024-02-01,ws_003492,Starter,739,15,4,15,3,0.0367,24.00
2024-02-01,ws_003543,Starter,89,6,3,13,2,0.0579,24.00
2024-02-01,ws_003558,Business (self-hosted),614,15,2,65,2,0.1040,0.00
2024-02-01,ws_003560,Starter,1975,20,5,298,6,0.0143,24.00
2024-02-01,ws_003569,Business (self-hosted),64,3,1,4,3,0.0276,0.00
2024-02-01,ws_003585,Starter,601,13,3,90,3,0.1001,24.00
2024-02-01,ws_003654,Starter,320,10,6,0,4,0.0128,24.00
2024-02-01,ws_003675,Community (free),195,8,1,6,3,0.0599,0.00
2024-02-01,ws_003691,Starter,76,6,9,11,2,0.0505,24.00
2024-02-01,ws_003746,Starter,146,8,4,19,1,0.0415,24.00
2024-02-01,ws_003801,Starter,4345,32,7,595,5,0.0406,24.00
2024-02-01,ws_003879,Starter,1393,20,1,0,4,0.0391,24.00
2024-02-01,ws_003886,Starter,172,7,4,13,4,0.0199,24.00
2024-02-01,ws_003930,Community (free),249,10,2,30,3,0.0263,0.00
2024-02-01,ws_003958,Community (free),384,12,2,46,2,0.0521,0.00
2024-02-01,ws_003964,Starter,291,10,6,12,3,0.1157,24.00
2024-02-01,ws_003972,Starter,808,18,3,82,2,0.0585,24.00
2024-02-01,ws_003980,Community (free),313,12,2,27,3,0.0623,0.00
2024-02-01,ws_003986,Starter,1641,21,2,193,3,0.0169,24.00
2024-02-01,ws_003999,Starter,78,3,3,1,2,0.0258,24.00
2024-02-01,ws_004059,Community (free),319,8,2,57,2,0.0203,0.00
2024-02-01,ws_004129,Community (free),424,9,3,49,3,0.0433,0.00
2024-02-01,ws_004142,Community (free),710,16,4,67,5,0.0119,0.00
2024-02-01,ws_004234,Business (self-hosted),24,3,1,1,1,0.1181,0.00
2024-02-01,ws_004248,Pro,3943,28,2,454,6,0.0035,60.00
2024-02-01,ws_004275,Community (free),33,1,4,1,3,0.0306,0.00
2024-02-01,ws_004298,Starter,13,5,2,0,1,0.0966,24.00
